"ENV","Plot","Rep","Bloc","DH","GY","EPP","ASI","AD","PH","SD","uid","EID"
"14DS",1,1,1,29,5.31,1,0,53,214.3,53,"14DS_29",1
"14DS",3,1,1,18,5.41,1,3,54,222.7,57,"14DS_18",1
"14DS",4,1,1,93,NA,NA,2,53,203.3,55,"14DS_93",1
"14DS",5,1,1,107,3.87,0.9,2,54,205.7,56,"14DS_107",1
"14DS",6,1,1,96,3.26,0.9,3,55,216,58,"14DS_96",1
"14DS",7,1,1,70,3.51,0.9,4,54,196,58,"14DS_70",1
"14DS",8,1,1,106,4.75,1,2,54,200,56,"14DS_106",1
"14DS",9,1,1,15,2.38,0.8,6,55,192.7,61,"14DS_15",1
"14DS",10,1,1,40,3.52,0.9,1,54,202.3,55,"14DS_40",1
"14DS",12,1,1,139,3.74,1,2,54,214.7,56,"14DS_139",1
"14DS",13,1,1,142,3.95,0.9,0,56,209,56,"14DS_142",1
"14DS",14,1,1,33,2.78,0.9,1,55,228.3,56,"14DS_33",1
"14DS",15,1,1,52,3.69,1,2,55,224,57,"14DS_52",1
"14DS",18,1,2,72,4.2,0.9,0,53,200,53,"14DS_72",1
"14DS",19,1,2,85,2.94,0.9,1,54,204,55,"14DS_85",1
"14DS",20,1,2,26,3.25,1,-2,57,218.7,55,"14DS_26",1
"14DS",22,1,2,53,2.98,0.9,4,54,211.7,58,"14DS_53",1
"14DS",23,1,2,57,3.03,1,3,56,190.7,59,"14DS_57",1
"14DS",25,1,2,64,3.08,1,2,56,199,58,"14DS_64",1
"14DS",26,1,2,25,3.25,0.9,1,56,202.7,57,"14DS_25",1
"14DS",28,1,2,103,3.42,1,1,55,208.3,56,"14DS_103",1
"14DS",29,1,2,112,3.68,1,1,53,197,54,"14DS_112",1
"14DS",30,1,2,77,2.9,1,2,55,202.3,57,"14DS_77",1
"14DS",31,1,3,87,4.02,1,2,54,202.3,56,"14DS_87",1
"14DS",33,1,3,1,2.69,0.9,1,55,199,56,"14DS_1",1
"14DS",34,1,3,42,3.87,1,1,53,200.7,54,"14DS_42",1
"14DS",35,1,3,13,5.59,1,1,53,197.3,54,"14DS_13",1
"14DS",37,1,3,14,NA,NA,0,62,197,62,"14DS_14",1
"14DS",38,1,3,28,3.62,1,2,54,210.3,56,"14DS_28",1
"14DS",39,1,3,5,2.97,0.9,0,54,192.3,54,"14DS_5",1
"14DS",40,1,3,148,4.7,1,1,56,186,57,"14DS_148",1
"14DS",41,1,3,158,3.41,0.9,1,55,211.7,56,"14DS_158",1
"14DS",42,1,3,90,2.51,0.7,2,54,193,56,"14DS_90",1
"14DS",43,1,3,95,3.28,0.9,0,54,214.3,54,"14DS_95",1
"14DS",44,1,3,67,3.08,1,1,55,213.7,56,"14DS_67",1
"14DS",45,1,3,66,3.44,1,1,53,201,54,"14DS_66",1
"14DS",46,1,4,16,4.13,1,2,55,220,57,"14DS_16",1
"14DS",47,1,4,128,3.53,1,1,54,194.3,55,"14DS_128",1
"14DS",48,1,4,10,6.06,1,0,54,177,54,"14DS_10",1
"14DS",49,1,4,68,5.24,1,0,54,199,54,"14DS_68",1
"14DS",51,1,4,30,4.33,0.9,3,55,204.7,58,"14DS_30",1
"14DS",53,1,4,177,3.91,1,0,54,207.7,54,"14DS_177",1
"14DS",54,1,4,6,3.7,0.9,1,53,191,54,"14DS_6",1
"14DS",55,1,4,8,4.77,1,1,53,205.7,54,"14DS_8",1
"14DS",56,1,4,65,3.75,1,0,53,203.7,53,"14DS_65",1
"14DS",57,1,4,60,2.6,0.7,1,57,204.7,58,"14DS_60",1
"14DS",58,1,4,55,2.66,0.8,2,56,216,58,"14DS_55",1
"14DS",59,1,4,133,3.29,0.9,1,53,206.7,54,"14DS_133",1
"14DS",61,1,5,114,3.78,0.9,4,54,209,58,"14DS_114",1
"14DS",62,1,5,125,3.49,0.9,2,54,190.3,56,"14DS_125",1
"14DS",64,1,5,76,2.7,1,2,56,202,58,"14DS_76",1
"14DS",65,1,5,38,3.99,1,1,52,203,53,"14DS_38",1
"14DS",66,1,5,92,4.27,1,1,52,199,53,"14DS_92",1
"14DS",68,1,5,172,3.87,1,1,53,215,54,"14DS_172",1
"14DS",69,1,5,156,3.08,0.9,4,54,200.3,58,"14DS_156",1
"14DS",70,1,5,48,3.2,1,2,54,201,56,"14DS_48",1
"14DS",72,1,5,24,3.39,1,2,57,204.3,59,"14DS_24",1
"14DS",74,1,5,3,3.42,0.9,1,52,197.3,53,"14DS_3",1
"14DS",75,1,5,69,3.5,1,3,54,215,57,"14DS_69",1
"14DS",76,1,6,131,3.81,1,3,52,181.7,55,"14DS_131",1
"14DS",79,1,6,19,3.8,1,0,56,202.3,56,"14DS_19",1
"14DS",80,1,6,17,2.81,0.9,1,53,196.7,54,"14DS_17",1
"14DS",81,1,6,75,3.3,0.9,4,52,185.7,56,"14DS_75",1
"14DS",82,1,6,97,3.26,0.9,3,53,202,56,"14DS_97",1
"14DS",83,1,6,121,NA,NA,NA,62,132.7,NA,"14DS_121",1
"14DS",84,1,6,4,5.24,1,1,52,201.7,53,"14DS_4",1
"14DS",85,1,6,83,2.75,0.9,1,56,213,57,"14DS_83",1
"14DS",86,1,6,9,4.13,0.9,2,52,197.3,54,"14DS_9",1
"14DS",87,1,6,138,3.14,0.9,3,52,184.3,55,"14DS_138",1
"14DS",88,1,6,161,3.3,1,4,52,214,56,"14DS_161",1
"14DS",89,1,6,82,3.39,0.9,2,52,208.7,54,"14DS_82",1
"14DS",91,1,7,136,3.96,1,2,52,201.3,54,"14DS_136",1
"14DS",93,1,7,11,3.12,0.9,2,52,198.7,54,"14DS_11",1
"14DS",95,1,7,54,2.14,NA,0,61,214.7,61,"14DS_54",1
"14DS",96,1,7,94,6.14,1,2,52,197.3,54,"14DS_94",1
"14DS",97,1,7,145,NA,NA,1,53,205.7,54,"14DS_145",1
"14DS",98,1,7,123,NA,NA,2,61,97.7,63,"14DS_123",1
"14DS",99,1,7,27,4.63,1,4,54,209.3,58,"14DS_27",1
"14DS",100,1,7,20,3.25,1,1,54,199.7,55,"14DS_20",1
"14DS",101,1,7,58,3.63,1,0,54,211.3,54,"14DS_58",1
"14DS",102,1,7,165,2.91,0.9,5,53,204,58,"14DS_165",1
"14DS",103,1,7,154,4.82,1,5,53,201.3,58,"14DS_154",1
"14DS",105,1,7,141,3.96,1,0,54,202.3,54,"14DS_141",1
"14DS",107,1,8,159,3.44,1,0,58,198.3,58,"14DS_159",1
"14DS",108,1,8,61,3.73,0.9,4,54,212,58,"14DS_61",1
"14DS",109,1,8,173,4.21,1,2,54,206,56,"14DS_173",1
"14DS",110,1,8,47,4.24,1,0,53,208.3,53,"14DS_47",1
"14DS",111,1,8,89,2.88,1.1,1,54,220,55,"14DS_89",1
"14DS",112,1,8,143,3.85,1,1,53,198.3,54,"14DS_143",1
"14DS",113,1,8,35,4.59,1,5,53,202.7,58,"14DS_35",1
"14DS",114,1,8,2,2.74,0.8,4,54,198.3,58,"14DS_2",1
"14DS",115,1,8,135,3.36,0.9,2,54,196.3,56,"14DS_135",1
"14DS",116,1,8,81,3.33,1,1,53,215.3,54,"14DS_81",1
"14DS",117,1,8,37,3.46,0.9,3,53,205.7,56,"14DS_37",1
"14DS",118,1,8,36,3.69,0.9,0,53,205.3,53,"14DS_36",1
"14DS",120,1,8,78,3.99,0.9,0,54,191.3,54,"14DS_78",1
"14WW",1,1,1,139,6.35,1,2,56,208.3,58,"14WW_139",2
"14WW",2,1,1,38,6.24,0.9,1,54,179.7,55,"14WW_38",2
"14WW",3,1,1,55,5.58,1,2,58,193.3,60,"14WW_55",2
"14WW",4,1,1,70,5.23,0.8,3,58,173.7,61,"14WW_70",2
"14WW",6,1,1,60,5.67,1,-8,71,193,63,"14WW_60",2
"14WW",7,1,1,125,5.47,1,3,58,183,61,"14WW_125",2
"14WW",8,1,1,83,5.07,0.9,3,60,199,63,"14WW_83",2
"14WW",10,1,1,24,5.63,0.8,3,59,199.7,62,"14WW_24",2
"14WW",11,1,1,106,6.27,1.1,1,55,203.7,56,"14WW_106",2
"14WW",12,1,1,172,5.07,0.4,5,56,198,61,"14WW_172",2
"14WW",13,1,1,37,3.67,0.8,3,60,195.7,63,"14WW_37",2
"14WW",15,1,1,138,5.3,0.9,0,54,190,54,"14WW_138",2
"14WW",16,1,2,20,6.1,1,2,57,189.3,59,"14WW_20",2
"14WW",17,1,2,114,5.99,1,0,58,213.7,58,"14WW_114",2
"14WW",19,1,2,76,4,0.9,4,59,203.7,63,"14WW_76",2
"14WW",20,1,2,18,7.74,1,1,57,214,58,"14WW_18",2
"14WW",21,1,2,158,5.22,0.9,4,58,220,62,"14WW_158",2
"14WW",22,1,2,16,6.64,1,-1,59,218.3,58,"14WW_16",2
"14WW",23,1,2,25,6.48,0.7,1,58,200.3,59,"14WW_25",2
"14WW",25,1,2,133,5.96,0.9,1,57,180.7,58,"14WW_133",2
"14WW",26,1,2,136,4.91,1,4,55,177.7,59,"14WW_136",2
"14WW",28,1,2,6,3.6,1.1,4,55,184,59,"14WW_6",2
"14WW",29,1,2,94,6.81,1,0,54,198.3,54,"14WW_94",2
"14WW",30,1,2,72,6.24,1.5,0,55,205,55,"14WW_72",2
"14WW",31,1,3,28,5.52,1,3,57,193.3,60,"14WW_28",2
"14WW",33,1,3,27,6.99,0.9,6,55,192.7,61,"14WW_27",2
"14WW",34,1,3,10,4.22,0.7,3,56,174.3,59,"14WW_10",2
"14WW",35,1,3,145,6.88,1,2,55,201,57,"14WW_145",2
"14WW",36,1,3,131,5.38,1.1,2,56,181.7,58,"14WW_131",2
"14WW",37,1,3,36,7.02,1,0,54,199.3,54,"14WW_36",2
"14WW",38,1,3,61,5.49,0.9,2,56,206.7,58,"14WW_61",2
"14WW",39,1,3,1,4.56,0.8,4,58,188.7,62,"14WW_1",2
"14WW",40,1,3,142,5.55,1,1,61,195,62,"14WW_142",2
"14WW",41,1,3,173,6.56,0.9,2,55,196,57,"14WW_173",2
"14WW",42,1,3,15,2.81,0.9,4,59,179.3,63,"14WW_15",2
"14WW",43,1,3,89,6.32,0.9,3,55,196.3,58,"14WW_89",2
"14WW",44,1,3,9,6.03,1,1,55,183.7,56,"14WW_9",2
