"site","entry","y"
1,1,3621.55
1,2,3426.45
1,3,3445.85
1,4,3719.9
1,5,3164.625
1,6,4116.075
1,7,3354.025
1,8,4528.775
1,9,3135.525
2,1,3728.325
2,2,3918.65
2,3,4082.125
2,4,4539.175
2,5,4078.85
2,6,4877.55
2,7,4767.025
2,8,3393.25
2,9,4500.05
3,1,5554.025
3,2,4936.675
3,3,5117.025
3,4,4542.5
3,5,6172.525
3,6,5204.825
3,7,5389.025
3,8,5248.075
3,9,3779.6
4,1,4565.575
4,2,4962.575
4,3,5136.275
4,4,6029.5
4,5,5831
4,6,5979.9
4,7,4342.275
4,8,4441.5
4,9,5781.375
5,1,4379.8
5,2,5201.475
5,3,4177.925
5,4,5672.25
5,5,5413.55
5,6,5591.35
5,7,4277.175
5,8,4476.4
5,9,5407.15
6,1,6436.725
6,2,6036.275
6,3,6458.8
6,4,6677.8
6,5,6881.7
6,6,6915.95
6,7,6744.55
6,8,4986.25
6,9,5609.7
7,1,2832.4
7,2,2514.6
7,3,3529.075
7,4,2997.6
7,5,3555.6
7,6,3948.875
7,7,3536.875
7,8,3087.675
7,9,3061.375
8,1,6011.4
8,2,5277.7
8,3,4730.75
8,4,2516.225
8,5,2731.6
8,6,2982.575
8,7,4205.575
8,8,4483.9
8,9,3309.425
9,1,4646.7
9,2,4713.9
9,3,5447.5
9,4,4863.925
9,5,5588.35
9,6,5602.725
9,7,4318.2
9,8,4001.05
9,9,5553.45
10,1,3099.875
10,2,2971.75
10,3,2785.375
10,4,2843.325
10,5,2688
10,6,3023.5
10,7,2888.925
10,8,3353.125
10,9,2773.95
11,1,4432.85
11,2,4348.525
11,3,4526.2
11,4,7117.225
11,5,5995.175
11,6,6150.275
11,7,5051.575
11,8,3712.975
11,9,6429.925
12,1,6873.275
12,2,7570.9
12,3,7727.025
12,4,8385.05
12,5,8105.6
12,6,7636.575
12,7,7443.575
12,8,5815.825
12,9,8090.675
13,1,6720.55
13,2,5626.975
13,3,6293.875
13,4,7331.725
13,5,7173.575
13,6,7261.925
13,7,5543.85
13,8,4116.55
13,9,6919.875
14,1,5848.575
14,2,5932.475
14,3,5886.475
14,4,6439.375
14,5,6358.975
14,6,6380.225
14,7,5819.775
14,8,5522.45
14,9,6282.35
15,1,4600.925
15,2,4125.825
15,3,4537.4
15,4,6331.175
15,5,6327.975
15,6,5961.35
15,7,4345.925
15,8,4321.2
15,9,4889.475
16,1,5009.675
16,2,5196.45
16,3,5455.475
16,4,6351.1
16,5,6069.8
16,6,5730.175
16,7,5013.425
16,8,4551
16,9,5278.375
17,1,4414.85
17,2,4210.55
17,3,4749.175
17,4,5160.85
17,5,5454.375
17,6,5807.05
17,7,3861.575
17,8,5243
17,9,4988.775
18,1,3344.475
18,2,4415.2
18,3,4294.6
18,4,5617.7
18,5,4497.8
18,6,5333.025
18,7,5276.35
18,8,2940.375
18,9,5244.4
19,1,1632
19,2,2281.75
19,3,3059.175
19,4,2232.6
19,5,3072.525
19,6,3011.025
19,7,3210.55
19,8,2634.35
19,9,2734.95
20,1,4587.025
20,2,4396.475
20,3,5018.175
20,4,4987.975
20,5,5775.875
20,6,5088.475
20,7,4056.075
20,8,4806.175
20,9,4822.275
