Env.x,ID,Year.x,Loc.x,Pedigree.x,Year.y,Ismean.x,NUID,EID,P1,P2
2015_DEH1,2015_DEH1_2369/PHZ51,2015,DEH1,2369/PHZ51,2015,196.4560614,5216,21,2369,PHZ51
2015_ILH1,2015_ILH1_2369/PHZ51,2015,ILH1,2369/PHZ51,2015,183.5863842,5821,23,2369,PHZ51
2015_INH1,2015_INH1_2369/PHZ51,2015,INH1,2369/PHZ51,2015,156.623791,6137,24,2369,PHZ51
2015_KSH1,2015_KSH1_2369/PHZ51,2015,KSH1,2369/PHZ51,2015,55.29137444,6485,25,2369,PHZ51
2015_MNH1,2015_MNH1_2369/PHZ51,2015,MNH1,2369/PHZ51,2015,174.3017598,6845,26,2369,PHZ51
2015_MOH1,2015_MOH1_2369/PHZ51,2015,MOH1,2369/PHZ51,2015,58.29727472,7180,27,2369,PHZ51
2015_MOH2,2015_MOH2_2369/PHZ51,2015,MOH2,2369/PHZ51,2015,125.2956925,7554,28,2369,PHZ51
2015_NEH1,2015_NEH1_2369/PHZ51,2015,NEH1,2369/PHZ51,2015,115.9828469,8280,30,2369,PHZ51
2015_NEH2,2015_NEH2_2369/PHZ51,2015,NEH2,2369/PHZ51,2015,130.2056318,8630,31,2369,PHZ51
2015_NEH3,2015_NEH3_2369/PHZ51,2015,NEH3,2369/PHZ51,2015,134.0882882,8985,32,2369,PHZ51
2015_NEH4,2015_NEH4_2369/PHZ51,2015,NEH4,2369/PHZ51,2015,137.1203093,9342,33,2369,PHZ51
2015_NYH2,2015_NYH2_2369/PHZ51,2015,NYH2,2369/PHZ51,2015,129.6889718,9700,34,2369,PHZ51
2015_NYH3,2015_NYH3_2369/PHZ51,2015,NYH3,2369/PHZ51,2015,145.2939828,10014,35,2369,PHZ51
2015_OHH1,2015_OHH1_2369/PHZ51,2015,OHH1,2369/PHZ51,2015,171.6673947,10302,36,2369,PHZ51
2015_ONH1,2015_ONH1_2369/PHZ51,2015,ONH1,2369/PHZ51,2015,225.9286129,10651,37,2369,PHZ51
2015_ONH2,2015_ONH2_2369/PHZ51,2015,ONH2,2369/PHZ51,2015,210.1082749,10940,38,2369,PHZ51
2015_KSH1,2015_KSH1_740/PB80,2015,KSH1,740/PB80,2015,114.5638125,6486,25,740,PB80
2015_MOH2,2015_MOH2_740/PB80,2015,MOH2,740/PB80,2015,97.47680817,7555,28,740,PB80
2015_KSH1,2015_KSH1_740/PHB47,2015,KSH1,740/PHB47,2015,88.92812658,6487,25,740,PHB47
2015_MOH2,2015_MOH2_740/PHB47,2015,MOH2,740/PHB47,2015,121.7355904,7556,28,740,PHB47
2015_DEH1,2015_DEH1_A634/LH82,2015,DEH1,A634/LH82,2015,127.6371935,5217,21,A634,LH82
2015_INH1,2015_INH1_A634/LH82,2015,INH1,A634/LH82,2015,110.1240565,6138,24,A634,LH82
2015_MNH1,2015_MNH1_A634/LH82,2015,MNH1,A634/LH82,2015,122.4804902,6846,26,A634,LH82
2015_NYH2,2015_NYH2_A634/LH82,2015,NYH2,A634/LH82,2015,54.99259314,9701,34,A634,LH82
2015_NYH3,2015_NYH3_A634/LH82,2015,NYH3,A634/LH82,2015,96.416938,10015,35,A634,LH82
2015_OHH1,2015_OHH1_A634/LH82,2015,OHH1,A634/LH82,2015,141.688852,10303,36,A634,LH82
2015_ONH1,2015_ONH1_A634/LH82,2015,ONH1,A634/LH82,2015,167.6276831,10652,37,A634,LH82
