,X1,X2,X3
TEST,0.302321564,0.302321564,0.302321564
2015_DEH1_2369/PHZ51,0.302321564,0.663608892,0.945448681
2015_ILH1_2369/PHZ51,0.279481086,0.508115179,0.06443748
2015_INH1_2369/PHZ51,0.241268209,0.551898419,0.062027531
2015_KSH1_2369/PHZ51,0.975448764,0.531370177,0.448578752
2015_MNH1_2369/PHZ51,0.956481299,0.333085617,0.461902007
2015_MOH1_2369/PHZ51,0.576922269,0.262238757,0.893330207
2015_MOH2_2369/PHZ51,0.582824609,0.114914857,0.543190167
2015_NEH1_2369/PHZ51,0.104753618,0.018597045,0.556199071
2015_NEH2_2369/PHZ51,0.420161018,0.873458937,0.63262768
2015_NEH3_2369/PHZ51,0.90272939,0.080016727,0.66931276
2015_NEH4_2369/PHZ51,0.632064553,0.716294577,0.232192854
2015_NYH2_2369/PHZ51,0.132545994,0.153559615,0.374671966
2015_NYH3_2369/PHZ51,0.113010435,0.407344998,0.715203512
2015_OHH1_2369/PHZ51,0.836275609,0.495756794,0.424554989
2015_ONH1_2369/PHZ51,0.35514845,0.231778095,0.222168472
2015_ONH2_2369/PHZ51,0.235647559,0.653140966,0.033193103
2015_KSH1_740/PB80,0.191969205,0.654640833,0.307771376
2015_MOH2_740/PB80,0.650733472,0.563762282,0.424733359
2015_KSH1_740/PHB47,0.976685671,0.378279067,0.359748724
2015_MOH2_740/PHB47,0.199538271,0.792161071,0.689040376
2015_DEH1_A634/LH82,0.858990562,0.865043394,0.325816689
2015_INH1_A634/LH82,0.946059277,0.896584751,0.622734021
2015_MNH1_A634/LH82,0.599387287,0.009559132,0.336018616
2015_NYH2_A634/LH82,0.925577197,0.93320188,0.639412095
2015_NYH3_A634/LH82,0.949581682,0.370310976,0.238549706
2015_OHH1_A634/LH82,0.614479666,0.400927254,0.423175178
2015_ONH1_A634/LH82,0.100461699,0.658244074,0.022768288
2015_ONH2_A634/LH82,0.245317715,0.608678573,0.992290068
2015_DEH1_A634/PHZ51,0.122563145,0.725388177,0.199783386
2015_INH1_A634/PHZ51,0.625911178,0.049648451,0.299853971
2015_MNH1_A634/PHZ51,0.618284159,0.957954928,0.524414728
2015_NYH2_A634/PHZ51,0.169619445,0.714193261,0.575786723
2015_NYH3_A634/PHZ51,0.310213686,0.417334304,0.9957886
2015_OHH1_A634/PHZ51,0.892192205,0.648510038,0.124764981
2015_ONH1_A634/PHZ51,0.326935558,0.598096789,0.318081844
2015_ONH2_A634/PHZ51,0.629697325,0.085676477,0.372503714
2015_MNH1_A635/LH82,0.212542743,0.286947547,0.23554548
2015_NYH2_A635/LH82,0.693194935,0.982826365,0.902962045
2015_NYH3_A635/LH82,0.642903737,0.187595235,0.299035933
2015_ONH1_A635/LH82,0.346419537,0.644800366,0.006196256
2015_ONH2_A635/LH82,0.135842462,0.321887024,0.176224275
2015_MNH1_A635/PHZ51,0.836571269,0.859239086,0.093719956
2015_NYH2_A635/PHZ51,0.887481177,0.580684185,0.458593307
2015_NYH3_A635/PHZ51,0.780072271,0.802210939,0.234793942
2015_ONH1_A635/PHZ51,0.251949429,0.03861374,0.885151756
2015_ONH2_A635/PHZ51,0.066942331,0.443573057,0.84491608
2015_ILH1_A641/LH82,0.194048564,0.640325156,0.614018365
2015_MNH1_A641/LH82,0.120789093,0.155091647,0.312291131
2015_NEH1_A641/LH82,0.181462251,0.267015232,0.197755686
2015_NYH2_A641/LH82,0.863188195,0.19804588,0.968551872
2015_NYH3_A641/LH82,0.913927738,0.2092003,0.47363352
2015_ONH1_A641/LH82,0.849185723,0.660222822,0.377312434
2015_ONH2_A641/LH82,0.072781836,0.04447451,0.808104048
2015_ILH1_A641/PHZ51,0.316717422,0.134759628,0.07534315
2015_MNH1_A641/PHZ51,0.993602234,0.75813509,0.066425446
2015_NEH1_A641/PHZ51,0.667337345,0.700347555,0.926218376
2015_NYH2_A641/PHZ51,0.782117143,0.957852881,0.258675828
2015_NYH3_A641/PHZ51,0.84051228,0.040034667,0.199568642
2015_ONH1_A641/PHZ51,0.269277773,0.067859618,0.278136847
2015_ONH2_A641/PHZ51,0.434590997,0.49612309,0.183038955
2015_MNH1_A672/LH82,0.933251071,0.133070789,0.14454563
2015_MOH1_A672/LH82,0.777426464,0.85470027,0.965597042
2015_NEH2_A672/LH82,0.155183985,0.501119245,0.144722652
2015_NEH3_A672/LH82,0.310384799,0.814572518,0.984117068
2015_NEH4_A672/LH82,0.327503541,0.654905334,0.337316941
2015_NYH2_A672/LH82,0.978450924,0.874856558,0.721265496
2015_NYH3_A672/LH82,0.777181627,0.807721566,0.455058255
2015_ONH1_A672/LH82,0.4727953,0.632533549,0.933381395
2015_ONH2_A672/LH82,0.989385413,0.600641633,0.920059233
2015_MNH1_A672/PHZ51,0.681218926,0.142909073,0.971449198
2015_MOH1_A672/PHZ51,0.354422172,0.311921838,0.700527019
2015_NEH2_A672/PHZ51,0.636874084,0.820587149,0.17997886
2015_NEH3_A672/PHZ51,0.607085663,0.888141916,0.01714364
2015_NEH4_A672/PHZ51,0.823341601,0.889750446,0.134893594
2015_NYH2_A672/PHZ51,0.263967776,0.788901433,0.097095715
2015_NYH3_A672/PHZ51,0.538657924,0.829599883,0.169910474
2015_ONH1_A672/PHZ51,0.132852644,0.412247925,0.384465623
2015_ONH2_A672/PHZ51,0.642319155,0.536066081,0.491359202
2015_MNH1_A679/LH82,0.413230844,0.51641872,0.51724618
2015_NEH3_A679/LH82,0.754104197,0.863590745,0.510241643
2015_NYH2_A679/LH82,0.170299654,0.982726717,0.399894795
2015_NYH3_A679/LH82,0.400952956,0.70670656,0.678299997
2015_OHH1_A679/LH82,0.215992631,0.861468033,0.329796195
2015_ONH1_A679/LH82,0.48444382,0.339016143,0.660945218
2015_ONH2_A679/LH82,0.246551535,0.167652772,0.833445735
2015_MNH1_A679/PHZ51,0.252588419,0.025156912,0.174828423
2015_NEH3_A679/PHZ51,0.104384333,0.118854003,0.539832281
2015_NYH2_A679/PHZ51,0.589070766,0.473333105,0.989571333
2015_NYH3_A679/PHZ51,0.045068788,0.366660013,0.328085591
2015_OHH1_A679/PHZ51,0.664397152,0.775736601,0.161149621
2015_ONH1_A679/PHZ51,0.443983616,0.925664032,0.996433206
2015_ONH2_A679/PHZ51,0.395572735,0.389369426,0.206504442
2015_INH1_A680/LH82,0.21296864,0.745185316,0.421624217
2015_MNH1_A680/LH82,0.391171465,0.371924997,0.310655114
2015_NEH1_A680/LH82,0.945794439,0.545607346,0.034074768
2015_NYH2_A680/LH82,0.734003137,0.21116361,0.82102893
2015_NYH3_A680/LH82,0.421422833,0.974144555,0.984443614
2015_ONH1_A680/LH82,0.240072755,0.890241103,0.932902865
2015_ONH2_A680/LH82,0.909688683,0.624382902,0.752989756
2015_INH1_A680/PHZ51,0.470828891,0.458851179,0.736521089
2015_MNH1_A680/PHZ51,0.055785812,0.738278633,0.292602773
