Env,Variety,isolate,HP,lesionO,index
1,B73,FV13563,B73xFV13563,29,2734
1,B73,FV13563,B73xFV13563,17,2735
1,B73,FV20956,B73xFV20956,6,2737
1,B73,FV20956,B73xFV20956,15,2738
1,B73,FV20956,B73xFV20956,35,2739
1,B73,FV.TN.03,B73xFV.TN.03,24,2740
1,B73,FV.TN.03,B73xFV.TN.03,37,2741
1,B73,FV25055,B73xFV25055,14,2744
1,B73,FV25055,B73xFV25055,15,2745
1,B73,FV25111,B73xFV25111,11,2749
1,B73,FV25111,B73xFV25111,16,2750
1,B73,FV25111,B73xFV25111,10,2751
1,B73,FV25228,B73xFV25228,3,2753
1,B73,FV25228,B73xFV25228,7,2754
1,B73,FV25457,B73xFV25457,14,2755
1,B73,FV25457,B73xFV25457,6,2757
1,B73,FV26518,B73xFV26518,4,2758
1,B73,FV26518,B73xFV26518,11,2759
1,B73,FV26518,B73xFV26518,41,2760
1,CM7,FV32963,CM7xFV32963,12,247
1,CM7,FV28949,CM7xFV28949,24,250
1,CM7,FV28949,CM7xFV28949,33,252
1,CM7,FV28948,CM7xFV28948,18,253
1,CM7,FV28948,CM7xFV28948,45,254
1,CM7,FV28948,CM7xFV28948,27,255
1,CM7,FV34715,CM7xFV34715,18,256
1,CM7,FV34715,CM7xFV34715,11,257
1,CM7,FV34715,CM7xFV34715,35,258
1,CM7,FV34713,CM7xFV34713,25,259
1,CM7,FV34713,CM7xFV34713,12,261
1,CM7,FV34183,CM7xFV34183,20,262
1,CM7,FV34183,CM7xFV34183,16,264
1,CO106,FV32973,CO106xFV32973,47,512
1,CO106,FV32973,CO106xFV32973,78,513
1,CO106,FV32970,CO106xFV32970,53,514
1,CO106,FV32970,CO106xFV32970,32,515
1,CO106,FV32970,CO106xFV32970,24,516
1,CO106,FV25228,CO106xFV25228,32,517
1,CO106,FV25228,CO106xFV25228,25,518
1,CO106,FV25228,CO106xFV25228,37,519
1,CO106,FV25055,CO106xFV25055,63,520
1,CO106,FV25055,CO106xFV25055,54,522
1,CO106,FV20984,CO106xFV20984,42,524
1,CO106,FV20984,CO106xFV20984,28,525
1,A188,FV34768,A188xFV34768,22,811
1,A188,FV34768,A188xFV34768,48,812
1,A188,FV34765,A188xFV34765,13,814
1,A188,FV34765,A188xFV34765,9,815
1,A188,FV34765,A188xFV34765,15,816
1,A188,FV34761,A188xFV34761,49,818
1,A188,FV34761,A188xFV34761,22,819
1,A188,FV34754,A188xFV34754,15,820
1,A188,FV34754,A188xFV34754,25,821
1,A188,FV34754,A188xFV34754,13,822
1,A188,FV28947,A188xFV28947,14,823
1,A188,FV28947,A188xFV28947,14,824
1,A188,FV28947,A188xFV28947,13,825
1,A188,FV28946,A188xFV28946,21,826
1,A188,FV28946,A188xFV28946,25,827
1,A188,FV28946,A188xFV28946,17,828
1,A188,FV28945,A188xFV28945,22,829
1,A188,FV28945,A188xFV28945,13,830
1,A188,FV28945,A188xFV28945,11,831
1,A188,FV26518,A188xFV26518,20,832
1,A188,FV26518,A188xFV26518,35,833
1,282set_Il101,FV26518,282set_Il101xFV26518,32,991
1,282set_Il101,FV26518,282set_Il101xFV26518,29,992
1,282set_Il101,FV25457,282set_Il101xFV25457,38,999
1,282set_Il101,FV25457,282set_Il101xFV25457,22,1000
1,282set_Il101,FV.NE.01,282set_Il101xFV.NE.01,39,1002
1,282set_Il101,FV.NE.01,282set_Il101xFV.NE.01,52,1003
1,282set_Il101,FV25111,282set_Il101xFV25111,43,1005
1,282set_Il101,FV25111,282set_Il101xFV25111,14,1007
1,282set_Il101,FV25058,282set_Il101xFV25058,40,1008
1,282set_Il101,FV25058,282set_Il101xFV25058,18,1009
1,282set_Il101,FV25058,282set_Il101xFV25058,48,1010
1,282set_Il101,FV34717,282set_Il101xFV34717,60,1013
1,282set_Il101,FV32969,282set_Il101xFV32969,26,1014
1,282set_Il101,FV32969,282set_Il101xFV32969,38,1015
1,282set_Il101,FV32969,282set_Il101xFV32969,57,1016
1,R168,FV25457,R168xFV25457,8,1084
1,R168,FV.NE.01,R168xFV.NE.01,14,1087
1,R168,FV.NE.01,R168xFV.NE.01,12,1089
1,R168,FV25111,R168xFV25111,19,1090
1,R168,FV25111,R168xFV25111,14,1091
1,R168,FV25111,R168xFV25111,19,1092
1,R168,FV25058,R168xFV25058,8,1095
1,R168,FV34717,R168xFV34717,14,1096
1,R168,FV34717,R168xFV34717,12,1098
