"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,200.562
7,1,"14DS",106,200,206.202
10,1,"14DS",139,214.7,202.704
13,1,"14DS",52,224,209.261
20,1,"14DS",25,202.7,202.094
22,1,"14DS",112,197,202.407
30,1,"14DS",5,192.3,200.846
38,1,"14DS",128,194.3,202.684
51,1,"14DS",76,202,203.243
53,1,"14DS",92,199,202.273
57,1,"14DS",24,204.3,200.646
61,1,"14DS",19,202.3,200.555
63,1,"14DS",75,185.7,197.196
64,1,"14DS",97,202,199.964
66,1,"14DS",4,201.7,201.656
74,1,"14DS",54,214.7,200.751
81,1,"14DS",165,204,204.685
83,1,"14DS",141,202.3,201.845
84,1,"14DS",159,198.3,201.599
95,1,"14DS",36,205.3,201.281
97,1,"14WW",139,208.3,191.793
104,1,"14WW",24,199.7,189.734
105,1,"14WW",106,203.7,195.291
111,1,"14WW",76,203.7,192.332
115,1,"14WW",25,200.3,191.182
126,1,"14WW",36,199.3,190.369
135,1,"14WW",29,208.7,189.65
139,1,"14WW",4,182.7,190.744
142,1,"14WW",5,178,189.934
148,1,"14WW",54,211.3,189.839
157,1,"14WW",52,219.3,198.349
158,1,"14WW",112,192.3,191.496
164,1,"14WW",128,193.7,191.772
167,1,"14WW",92,178,191.362
173,1,"14WW",19,182,189.643
176,1,"14WW",165,187.7,193.773
178,1,"14WW",97,186,189.053
182,1,"14WW",141,192.7,190.934
188,1,"14WW",75,186,186.285
189,1,"14WW",159,200,190.687
196,1,"16DS",29,184,179.366
197,1,"16DS",159,187.33,180.403
200,1,"16DS",75,172.33,176
204,1,"16DS",25,181,180.898
209,1,"16DS",128,169.67,181.487
217,1,"16DS",141,188.67,180.649
219,1,"16DS",139,193.33,181.508
221,1,"16DS",19,185.33,179.359
225,1,"16DS",24,180.67,179.45
227,1,"16DS",92,179.33,181.077
232,1,"16DS",4,180.67,180.46
241,1,"16DS",5,189,179.65
243,1,"16DS",54,189.67,179.554
250,1,"16DS",36,192,180.085
264,1,"16DS",76,187,182.047
269,1,"16DS",112,180,181.211
272,1,"16DS",165,144.67,183.489
277,1,"16DS",52,190,188.064
282,1,"16DS",97,196.67,178.768
283,1,"16DS",106,196.67,185.006
289,1,"16WW",75,177,186.373
296,1,"16WW",29,220,189.738
298,1,"16WW",159,196,190.776
302,1,"16WW",106,206.67,195.379
303,1,"16WW",92,192.33,191.45
315,1,"16WW",25,203,191.27
317,1,"16WW",24,203,189.823
318,1,"16WW",4,208.67,190.832
323,1,"16WW",141,198.67,191.022
333,1,"16WW",128,183,191.86
334,1,"16WW",97,204.33,189.141
341,1,"16WW",165,193.33,193.862
367,1,"16WW",52,202.67,198.437
370,1,"16WW",54,210.67,189.927
371,1,"16WW",76,197.33,192.42
372,1,"16WW",5,193.67,190.022
374,1,"16WW",36,201.67,190.458
376,1,"16WW",112,189.33,191.584
379,1,"16WW",19,190,189.732
381,1,"16WW",139,210.67,191.881
4,2,"14DS",107,205.7,195.358
5,2,"14DS",96,216,197.898
6,2,"14DS",70,196,201.449
8,2,"14DS",15,192.7,205.746
11,2,"14DS",142,209,204.471
12,2,"14DS",33,228.3,201.967
14,2,"14DS",72,200,199.427
16,2,"14DS",26,218.7,201.265
21,2,"14DS",103,208.3,199.275
27,2,"14DS",13,197.3,199.778
29,2,"14DS",28,210.3,198.904
39,2,"14DS",10,177,196.383
69,2,"14DS",138,184.3,201.101
70,2,"14DS",161,214,201.957
78,2,"14DS",27,209.3,198.737
79,2,"14DS",20,199.7,199.536
86,2,"14DS",173,206,197.395
87,2,"14DS",47,208.3,201.432
89,2,"14DS",143,198.3,201.304
91,2,"14DS",2,198.3,197.181
100,2,"14WW",70,173.7,192.197
108,2,"14WW",138,190,191.85
109,2,"14WW",20,189.3,190.284
120,2,"14WW",72,205,190.175
121,2,"14WW",28,193.3,189.653
122,2,"14WW",27,192.7,189.485
123,2,"14WW",10,174.3,187.131
129,2,"14WW",142,195,195.219
130,2,"14WW",173,196,188.143
131,2,"14WW",15,179.3,196.494
136,2,"14WW",161,197,192.705
153,2,"14WW",13,172.3,190.526
154,2,"14WW",26,190,192.014
156,2,"14WW",33,204,192.716
170,2,"14WW",47,193.3,192.18
171,2,"14WW",2,181.3,187.929
174,2,"14WW",143,188,192.052
175,2,"14WW",96,199,188.646
180,2,"14WW",107,191.3,186.106
185,2,"14WW",103,202,190.024
194,2,"16DS",143,167,181.068
195,2,"16DS",173,173.67,177.158
199,2,"16DS",161,200.67,181.72
207,2,"16DS",107,186.33,175.121
210,2,"16DS",72,182.33,179.19
212,2,"16DS",2,190,176.944
223,2,"16DS",28,185.67,178.668
228,2,"16DS",26,188.33,181.029
229,2,"16DS",138,160,180.865
236,2,"16DS",96,191.67,177.662
239,2,"16DS",10,168.67,176.146
245,2,"16DS",47,202.33,181.195
259,2,"16DS",103,184.67,179.039
263,2,"16DS",27,188.33,178.5
266,2,"16DS",70,184,181.212
268,2,"16DS",20,181,179.299
274,2,"16DS",15,174,185.51
275,2,"16DS",33,172,181.731
276,2,"16DS",13,169.67,179.542
280,2,"16DS",142,181.33,184.235
301,2,"16WW",2,187,189.114
308,2,"16WW",142,159.67,196.404
313,2,"16WW",96,213,189.831
319,2,"16WW",138,182.67,193.034
324,2,"16WW",47,202,193.365
332,2,"16WW",103,201,191.208
346,2,"16WW",27,189,190.67
349,2,"16WW",15,181.67,197.679
350,2,"16WW",33,163.67,193.9
352,2,"16WW",10,161.67,188.316
354,2,"16WW",143,186.33,193.237
359,2,"16WW",107,186,187.291
362,2,"16WW",70,194,193.382
364,2,"16WW",28,204.33,190.837
373,2,"16WW",72,198.33,191.36
375,2,"16WW",173,197,189.328
377,2,"16WW",20,183.33,191.469
380,2,"16WW",161,206.33,193.89
382,2,"16WW",13,196,191.711
383,2,"16WW",26,204.67,193.198
2,3,"14DS",18,222.7,199.632
9,3,"14DS",40,202.3,202.571
17,3,"14DS",53,211.7,204.754
24,3,"14DS",87,202.3,201.382
28,3,"14DS",14,197,198.189
33,3,"14DS",90,193,201.955
36,3,"14DS",66,201,199.346
40,3,"14DS",68,199,199.601
42,3,"14DS",177,207.7,204.972
44,3,"14DS",8,205.7,200.025
50,3,"14DS",125,190.3,205.131
54,3,"14DS",172,215,204.449
55,3,"14DS",156,200.3,202.179
56,3,"14DS",48,201,200.275
58,3,"14DS",3,197.3,204.257
59,3,"14DS",69,215,203.177
77,3,"14DS",123,97.7,201.289
80,3,"14DS",58,211.3,202.341
82,3,"14DS",154,201.3,201.559
96,3,"14DS",78,191.3,201.121
102,3,"14WW",125,183,194.513
106,3,"14WW",172,198,193.831
112,3,"14WW",18,214,189.014
134,3,"14WW",66,195.3,188.728
138,3,"14WW",68,204,188.983
144,3,"14WW",154,186.3,190.941
145,3,"14WW",156,200.7,191.561
147,3,"14WW",177,193.3,194.354
150,3,"14WW",14,187.3,187.57
159,3,"14WW",8,188,189.407
163,3,"14WW",3,186.7,193.639
165,3,"14WW",48,189.3,189.657
177,3,"14WW",40,202.3,191.953
181,3,"14WW",90,172.7,191.337
183,3,"14WW",87,199.3,190.764
184,3,"14WW",58,196,191.723
186,3,"14WW",53,200.3,194.136
187,3,"14WW",69,207.3,192.559
190,3,"14WW",78,192.7,190.503
192,3,"14WW",123,89.7,190.671
201,3,"16DS",58,190.33,182.54
202,3,"16DS",123,0,181.488
203,3,"16DS",87,188.67,181.581
206,3,"16DS",172,185,184.648
211,3,"16DS",69,181.67,183.376
216,3,"16DS",154,186.33,181.758
222,3,"16DS",68,198,179.8
224,3,"16DS",18,166,179.831
235,3,"16DS",14,160,178.387
242,3,"16DS",53,181.67,184.953
244,3,"16DS",177,193.67,185.171
246,3,"16DS",156,187.33,182.378
247,3,"16DS",66,186.33,179.545
248,3,"16DS",90,179.33,182.154
252,3,"16DS",48,183.67,180.474
254,3,"16DS",3,186,184.456
258,3,"16DS",125,170.67,185.33
271,3,"16DS",78,169.33,181.32
273,3,"16DS",40,161.67,182.77
284,3,"16DS",8,195.67,180.224
290,3,"16WW",69,204,193.904
292,3,"16WW",40,210.33,193.298
299,3,"16WW",66,194.33,190.073
300,3,"16WW",125,186,195.858
305,3,"16WW",53,186,195.481
309,3,"16WW",58,203.33,193.068
321,3,"16WW",154,192,192.286
328,3,"16WW",14,179,188.916
337,3,"16WW",78,191.33,191.848
338,3,"16WW",18,179,190.359
342,3,"16WW",156,189,192.906
343,3,"16WW",87,199.67,192.109
348,3,"16WW",48,179.67,191.002
351,3,"16WW",3,161.67,194.984
353,3,"16WW",172,185,195.176
355,3,"16WW",123,147.67,192.016
358,3,"16WW",90,190,192.682
363,3,"16WW",177,195,195.699
369,3,"16WW",68,201.33,190.328
384,3,"16WW",8,187.67,190.752
3,4,"14DS",93,203.3,197.965
15,4,"14DS",85,204,199.229
23,4,"14DS",77,202.3,204.832
35,4,"14DS",67,213.7,203.114
37,4,"14DS",16,220,197.631
46,4,"14DS",60,204.7,201.874
48,4,"14DS",133,206.7,198.594
49,4,"14DS",114,209,203.662
60,4,"14DS",131,181.7,192.87
62,4,"14DS",17,196.7,196.431
65,4,"14DS",121,132.7,204.906
67,4,"14DS",83,213,197.063
68,4,"14DS",9,197.3,195.989
71,4,"14DS",82,208.7,196.984
72,4,"14DS",136,201.3,200.542
73,4,"14DS",11,198.7,198.879
76,4,"14DS",145,205.7,203.562
85,4,"14DS",61,212,205.991
88,4,"14DS",89,220,205.625
94,4,"14DS",37,205.7,204.003
101,4,"14WW",60,193,192.658
103,4,"14WW",83,199,187.847
107,4,"14WW",37,195.7,194.787
110,4,"14WW",114,213.7,194.446
114,4,"14WW",16,218.3,188.415
116,4,"14WW",133,180.7,189.378
117,4,"14WW",136,177.7,191.326
124,4,"14WW",145,201,194.345
125,4,"14WW",131,181.7,183.654
127,4,"14WW",61,206.7,196.775
132,4,"14WW",89,196.3,196.409
133,4,"14WW",9,183.7,186.773
140,4,"14WW",11,180,189.663
141,4,"14WW",121,101.3,195.69
151,4,"14WW",82,198.3,187.768
162,4,"14WW",85,189.3,190.013
