"testing","fold","env","individual","observed","predicted"
6,1,"14DS",70,196,185.646
7,1,"14DS",106,200,210.311
11,1,"14DS",142,209,214.232
12,1,"14DS",33,228.3,176.748
16,1,"14DS",26,218.7,184.597
17,1,"14DS",53,211.7,204.721
24,1,"14DS",87,202.3,185.9
31,1,"14DS",148,186,218.571
40,1,"14DS",68,199,211.352
43,1,"14DS",6,191,214.762
45,1,"14DS",65,203.7,180.867
58,1,"14DS",3,197.3,234.478
62,1,"14DS",17,196.7,174.238
66,1,"14DS",4,201.7,176.34
67,1,"14DS",83,213,182.555
72,1,"14DS",136,201.3,184.353
88,1,"14DS",89,220,206.222
90,1,"14DS",35,202.7,233.322
92,1,"14DS",135,196.3,204.751
93,1,"14DS",81,215.3,241.386
100,1,"14WW",70,173.7,178.534
103,1,"14WW",83,199,174.938
105,1,"14WW",106,203.7,200.105
117,1,"14WW",136,177.7,175.515
118,1,"14WW",6,184,205.664
129,1,"14WW",142,195,205.562
132,1,"14WW",89,196.3,196.723
137,1,"14WW",81,203.7,231.269
138,1,"14WW",68,204,201.4
139,1,"14WW",4,182.7,164.577
152,1,"14WW",148,166.3,211.511
154,1,"14WW",26,190,175.159
155,1,"14WW",135,177.7,194.434
156,1,"14WW",33,204,164.614
160,1,"14WW",35,199.7,222.285
163,1,"14WW",3,186.7,223.847
166,1,"14WW",65,189,171.605
183,1,"14WW",87,199.3,175.566
186,1,"14WW",53,200.3,195.604
191,1,"14WW",17,181,162.688
203,1,"16DS",87,188.67,161.583
205,1,"16DS",89,195.67,186.657
208,1,"16DS",136,183.33,165.311
214,1,"16DS",148,164.67,202.952
218,1,"16DS",17,198.67,153.032
222,1,"16DS",68,198,187.929
228,1,"16DS",26,188.33,160.566
230,1,"16DS",81,192.33,219.596
232,1,"16DS",4,180.67,151.134
242,1,"16DS",53,181.67,182.524
249,1,"16DS",35,186,214.185
251,1,"16DS",83,189,158.252
254,1,"16DS",3,186,213.02
265,1,"16DS",135,179.67,178.175
266,1,"16DS",70,184,159.941
267,1,"16DS",65,190.33,159.947
275,1,"16DS",33,172,152.131
280,1,"16DS",142,181.33,196.006
283,1,"16DS",106,196.67,194.088
286,1,"16DS",6,176,194.156
291,1,"16WW",17,203.33,161.547
302,1,"16WW",106,206.67,202.729
305,1,"16WW",53,186,199.495
308,1,"16WW",142,159.67,209.812
312,1,"16WW",136,191,176.241
318,1,"16WW",4,208.67,166.976
327,1,"16WW",89,203,196.937
331,1,"16WW",135,193,198.305
339,1,"16WW",6,186.67,203.895
343,1,"16WW",87,199.67,176.015
344,1,"16WW",35,189,221.78
345,1,"16WW",83,190,180.789
350,1,"16WW",33,163.67,169.861
351,1,"16WW",3,161.67,229.597
360,1,"16WW",65,196,171.205
362,1,"16WW",70,194,177.285
365,1,"16WW",81,205,231.399
366,1,"16WW",148,181,210.627
369,1,"16WW",68,201.33,202.019
383,1,"16WW",26,204.67,179.245
4,2,"14DS",107,205.7,199.507
5,2,"14DS",96,216,208.865
10,2,"14DS",139,214.7,213.379
14,2,"14DS",72,200,203.148
29,2,"14DS",28,210.3,185.031
30,2,"14DS",5,192.3,199.846
34,2,"14DS",95,214.3,202.174
35,2,"14DS",67,213.7,206.4
38,2,"14DS",128,194.3,219.2
44,2,"14DS",8,205.7,198.843
46,2,"14DS",60,204.7,201.858
50,2,"14DS",125,190.3,201.376
53,2,"14DS",92,199,199.328
54,2,"14DS",172,215,208.575
65,2,"14DS",121,132.7,210.005
76,2,"14DS",145,205.7,206.225
78,2,"14DS",27,209.3,208.128
85,2,"14DS",61,212,219.043
87,2,"14DS",47,208.3,201.808
89,2,"14DS",143,198.3,185.755
97,2,"14WW",139,208.3,205.355
101,2,"14WW",60,193,195.86
102,2,"14WW",125,183,193.287
106,2,"14WW",172,198,199.371
120,2,"14WW",72,205,193.562
121,2,"14WW",28,193.3,174.913
122,2,"14WW",27,192.7,198.012
124,2,"14WW",145,201,197.346
127,2,"14WW",61,206.7,211.895
141,2,"14WW",121,101.3,199.006
142,2,"14WW",5,178,190.798
149,2,"14WW",95,200.3,192.135
159,2,"14WW",8,188,188.009
164,2,"14WW",128,193.7,212.128
167,2,"14WW",92,178,190.162
169,2,"14WW",67,194,197.913
170,2,"14WW",47,193.3,191.988
174,2,"14WW",143,188,178.287
175,2,"14WW",96,199,199.031
180,2,"14WW",107,191.3,189.998
194,2,"16DS",143,167,167.699
206,2,"16DS",172,185,187.946
207,2,"16DS",107,186.33,176.434
209,2,"16DS",128,169.67,201.35
210,2,"16DS",72,182.33,184.893
219,2,"16DS",139,193.33,194.775
223,2,"16DS",28,185.67,162.696
226,2,"16DS",61,188,203.264
227,2,"16DS",92,179.33,178.205
233,2,"16DS",145,178.33,187.365
234,2,"16DS",121,70.67,189.942
236,2,"16DS",96,191.67,184.621
241,2,"16DS",5,189,177.616
245,2,"16DS",47,202.33,183.579
253,2,"16DS",95,187,178.654
257,2,"16DS",67,191.33,189.968
258,2,"16DS",125,170.67,184.475
263,2,"16DS",27,188.33,184.173
278,2,"16DS",60,195.67,183.248
284,2,"16DS",8,195.67,178.015
294,2,"16WW",145,214,197.845
297,2,"16WW",121,92,202.03
300,2,"16WW",125,186,193.319
303,2,"16WW",92,192.33,193.21
310,2,"16WW",67,194.67,197.387
313,2,"16WW",96,213,197.448
314,2,"16WW",61,208.33,211.039
320,2,"16WW",60,201,190.472
324,2,"16WW",47,202,190.897
333,2,"16WW",128,183,209.744
340,2,"16WW",95,207.33,192.021
346,2,"16WW",27,189,194.7
353,2,"16WW",172,185,199.646
354,2,"16WW",143,186.33,177.282
359,2,"16WW",107,186,189.413
364,2,"16WW",28,204.33,176.948
372,2,"16WW",5,193.67,189.5
373,2,"16WW",72,198.33,192.841
381,2,"16WW",139,210.67,207.136
384,2,"16WW",8,187.67,190.265
13,3,"14DS",52,224,235.217
15,3,"14DS",85,204,192.556
18,3,"14DS",57,190.7,201.49
21,3,"14DS",103,208.3,231.886
23,3,"14DS",77,202.3,215.231
26,3,"14DS",42,200.7,188.889
32,3,"14DS",158,211.7,217.866
36,3,"14DS",66,201,169.54
42,3,"14DS",177,207.7,176.229
49,3,"14DS",114,209,210.925
52,3,"14DS",38,203,205.65
56,3,"14DS",48,201,165.056
59,3,"14DS",69,215,220.64
61,3,"14DS",19,202.3,190.96
69,3,"14DS",138,184.3,187.162
70,3,"14DS",161,214,219.631
71,3,"14DS",82,208.7,190.234
80,3,"14DS",58,211.3,199.586
84,3,"14DS",159,198.3,210.462
91,3,"14DS",2,198.3,153.991
98,3,"14WW",38,179.7,196.177
108,3,"14WW",138,190,179.814
110,3,"14WW",114,213.7,198.874
113,3,"14WW",158,220,206.348
134,3,"14WW",66,195.3,158.773
136,3,"14WW",161,197,209.77
143,3,"14WW",42,201.7,179.793
147,3,"14WW",177,193.3,165.279
151,3,"14WW",82,198.3,178.324
157,3,"14WW",52,219.3,226.37
161,3,"14WW",57,200,191.597
162,3,"14WW",85,189.3,183.878
165,3,"14WW",48,189.3,155.005
171,3,"14WW",2,181.3,143.335
173,3,"14WW",19,182,181.341
179,3,"14WW",77,177,204.715
184,3,"14WW",58,196,188.619
185,3,"14WW",103,202,223.647
187,3,"14WW",69,207.3,209.862
189,3,"14WW",159,200,198.608
197,3,"16DS",159,187.33,191.607
198,3,"16DS",85,177.67,172.507
199,3,"16DS",161,200.67,200.465
201,3,"16DS",58,190.33,175.659
211,3,"16DS",69,181.67,200.737
212,3,"16DS",2,190,129.332
221,3,"16DS",19,185.33,171.439
229,3,"16DS",138,160,167.418
244,3,"16DS",177,193.67,154.685
247,3,"16DS",66,186.33,147.49
252,3,"16DS",48,183.67,141.301
256,3,"16DS",114,192,190.058
259,3,"16DS",103,184.67,213.344
260,3,"16DS",82,199.67,169.48
261,3,"16DS",158,197.67,197.311
262,3,"16DS",38,188.67,189.517
270,3,"16DS",77,163,197.105
277,3,"16DS",52,190,215.367
281,3,"16DS",42,186,166.59
287,3,"16DS",57,183,181.8
290,3,"16WW",69,204,211.527
295,3,"16WW",158,209,204.74
298,3,"16WW",159,196,200.989
299,3,"16WW",66,194.33,160.72
301,3,"16WW",2,187,145.454
306,3,"16WW",82,182,183.556
307,3,"16WW",85,159.67,185.369
309,3,"16WW",58,203.33,191.671
319,3,"16WW",138,182.67,179.356
329,3,"16WW",42,188.33,178.377
330,3,"16WW",114,210.33,201.115
332,3,"16WW",103,201,226.689
347,3,"16WW",57,180,193.195
348,3,"16WW",48,179.67,156.993
361,3,"16WW",38,189.33,200.75
363,3,"16WW",177,195,168.757
367,3,"16WW",52,202.67,223.759
378,3,"16WW",77,178,207.051
379,3,"16WW",19,190,178.286
380,3,"16WW",161,206.33,212.763
1,4,"14DS",29,214.3,191.712
3,4,"14DS",93,203.3,204.49
9,4,"14DS",40,202.3,188.664
20,4,"14DS",25,202.7,204.472
22,4,"14DS",112,197,208.162
27,4,"14DS",13,197.3,192.193
28,4,"14DS",14,197,197.719
33,4,"14DS",90,193,218.098
37,4,"14DS",16,220,194.94
39,4,"14DS",10,177,212.632
41,4,"14DS",30,204.7,201.694
55,4,"14DS",156,200.3,210.741
63,4,"14DS",75,185.7,210.776
64,4,"14DS",97,202,178.904
73,4,"14DS",11,198.7,198.398
75,4,"14DS",94,197.3,207.312
77,4,"14DS",123,97.7,202.784
79,4,"14DS",20,199.7,201.347
83,4,"14DS",141,202.3,205.989
95,4,"14DS",36,205.3,196.579
109,4,"14WW",20,189.3,190.352
114,4,"14WW",16,218.3,187.036
115,4,"14WW",25,200.3,191.848
119,4,"14WW",94,198.3,197.829
123,4,"14WW",10,174.3,203.397
126,4,"14WW",36,199.3,184.29
135,4,"14WW",29,208.7,175.177
140,4,"14WW",11,180,188.992
145,4,"14WW",156,200.7,198.479
146,4,"14WW",30,196.7,189.733
150,4,"14WW",14,187.3,189.905
153,4,"14WW",13,172.3,180.166
158,4,"14WW",112,192.3,198.868
172,4,"14WW",93,175,194.068
177,4,"14WW",40,202.3,179.983
178,4,"14WW",97,186,168.822
181,4,"14WW",90,172.7,210.155
182,4,"14WW",141,192.7,192.844
188,4,"14WW",75,186,200.411
192,4,"14WW",123,89.7,186.557
196,4,"16DS",29,184,166.938
200,4,"16DS",75,172.33,191.364
202,4,"16DS",123,0,183.441
204,4,"16DS",25,181,180.985
217,4,"16DS",141,188.67,183.859
220,4,"16DS",30,188,179.707
235,4,"16DS",14,160,178.471
238,4,"16DS",11,173.67,180.342
239,4,"16DS",10,168.67,194.313
246,4,"16DS",156,187.33,193.074
248,4,"16DS",90,179.33,197.062
250,4,"16DS",36,192,173.123
255,4,"16DS",94,183,189.202
268,4,"16DS",20,181,181.117
269,4,"16DS",112,180,184.853
273,4,"16DS",40,161.67,166.559
276,4,"16DS",13,169.67,174.174
279,4,"16DS",16,182.67,174.108
282,4,"16DS",97,196.67,155.979
285,4,"16DS",93,194.33,184.774
289,4,"16WW",75,177,199.587
292,4,"16WW",40,210.33,178.381
293,4,"16WW",94,200,199.367
296,4,"16WW",29,220,180.143
315,4,"16WW",25,203,191.529
322,4,"16WW",30,198.33,192.572
323,4,"16WW",141,198.67,190.709
326,4,"16WW",11,191.67,188.472
328,4,"16WW",14,179,188.597
334,4,"16WW",97,204.33,166.862
336,4,"16WW",16,195,185.211
342,4,"16WW",156,189,202.657
352,4,"16WW",10,161.67,202.864
355,4,"16WW",123,147.67,189.159
356,4,"16WW",93,180.67,194.591
358,4,"16WW",90,190,209.924
374,4,"16WW",36,201.67,185.706
376,4,"16WW",112,189.33,197.768
377,4,"16WW",20,183.33,191.324
382,4,"16WW",13,196,182.095
2,5,"14DS",18,222.7,229.399
8,5,"14DS",15,192.7,181.492
19,5,"14DS",64,199,200.562
25,5,"14DS",1,199,173.52
47,5,"14DS",55,216,202.229
48,5,"14DS",133,206.7,173.23
51,5,"14DS",76,202,190.248
57,5,"14DS",24,204.3,213.58
60,5,"14DS",131,181.7,187.897
68,5,"14DS",9,197.3,209.034
74,5,"14DS",54,214.7,216.166
81,5,"14DS",165,204,218.056
82,5,"14DS",154,201.3,184.46
86,5,"14DS",173,206,184.451
94,5,"14DS",37,205.7,198.319
