"","cv","model","env","n","rmse"
"1","cv2","Base model (E+G+L)","14DS",96,7.86
"2","cv2","Base model (E+G+L)","14WW",96,9.47
"3","cv2","Base model (E+G+L)","16DS",96,15.62
"4","cv2","Base model (E+G+L)","16WW",96,13.23
"5","cv2","Base model (E+G+L)","all",384,11.55
"6","cv2","E+G+EG","14DS",96,8.68
"7","cv2","E+G+EG","14WW",96,9.37
"8","cv2","E+G+EG","16DS",96,18.02
"9","cv2","E+G+EG","16WW",96,14.05
"10","cv2","E+G+EG","all",384,12.53
"11","cv1","Base model (E+G+L)","14DS",96,16.02
"12","cv1","Base model (E+G+L)","14WW",96,17.89
"13","cv1","Base model (E+G+L)","16DS",96,24.66
"14","cv1","Base model (E+G+L)","16WW",96,16.97
"15","cv1","Base model (E+G+L)","all",384,18.89
"16","cv1","E+G+EG","14DS",96,22.37
"17","cv1","E+G+EG","14WW",96,22.32
"18","cv1","E+G+EG","16DS",96,30.76
"19","cv1","E+G+EG","16WW",96,23.72
"20","cv1","E+G+EG","all",384,24.79
"21","cv0","Base model (E+G+L)","14DS",96,7.94
"22","cv0","Base model (E+G+L)","14WW",96,9.48
"23","cv0","Base model (E+G+L)","16DS",96,15.55
"24","cv0","Base model (E+G+L)","16WW",96,13.27
"25","cv0","Base model (E+G+L)","all",384,11.56
"26","cv0","E+G+EG","14DS",96,8.61
"27","cv0","E+G+EG","14WW",96,9.34
"28","cv0","E+G+EG","16DS",96,18.04
"29","cv0","E+G+EG","16WW",96,13.93
"30","cv0","E+G+EG","all",384,12.48
"31","cv00","Base model (E+G+L)","14DS",96,16.11
"32","cv00","Base model (E+G+L)","14WW",96,18.17
"33","cv00","Base model (E+G+L)","16DS",96,24.51
"34","cv00","Base model (E+G+L)","16WW",96,17.03
"35","cv00","Base model (E+G+L)","all",384,18.96
"36","cv00","E+G+EG","14DS",96,22.41
"37","cv00","E+G+EG","14WW",96,22.36
"38","cv00","E+G+EG","16DS",96,30.85
"39","cv00","E+G+EG","16WW",96,23.82
"40","cv00","E+G+EG","all",384,24.86
