"testing","fold","env","individual","observed","predicted"
6,1,"14DS",70,196,197.561
9,1,"14DS",40,202.3,205.602
19,1,"14DS",64,199,208.346
23,1,"14DS",77,202.3,187.473
27,1,"14DS",13,197.3,190.934
35,1,"14DS",67,213.7,204.441
37,1,"14DS",16,220,208.776
43,1,"14DS",6,191,195.058
48,1,"14DS",133,206.7,197.776
55,1,"14DS",156,200.3,203.498
58,1,"14DS",3,197.3,191.815
71,1,"14DS",82,208.7,204.896
79,1,"14DS",20,199.7,197.905
81,1,"14DS",165,204,189.544
83,1,"14DS",141,202.3,205.961
88,1,"14DS",89,220,212.203
90,1,"14DS",35,202.7,202.566
94,1,"14DS",37,205.7,201.987
95,1,"14DS",36,205.3,207.835
96,1,"14DS",78,191.3,195.086
106,1,"14WW",172,198,195.64
120,1,"14WW",72,205,194.711
124,1,"14WW",145,201,199.397
131,1,"14WW",15,179.3,183.198
133,1,"14WW",9,183.7,196.391
141,1,"14WW",121,101.3,115.672
143,1,"14WW",42,201.7,196.069
152,1,"14WW",148,166.3,179.061
154,1,"14WW",26,190,203.609
155,1,"14WW",135,177.7,191.421
156,1,"14WW",33,204,186.391
157,1,"14WW",52,219.3,204.851
165,1,"14WW",48,189.3,185.643
166,1,"14WW",65,189,197.331
167,1,"14WW",92,178,194.528
172,1,"14WW",93,175,190.718
184,1,"14WW",58,196,201.191
188,1,"14WW",75,186,177.22
191,1,"14WW",17,181,199.469
199,1,"16DS",161,200.67,193.856
204,1,"16DS",25,181,185.885
207,1,"16DS",107,186.33,178.707
220,1,"16DS",30,188,181.566
225,1,"16DS",24,180.67,187.048
229,1,"16DS",138,160,172.194
230,1,"16DS",81,192.33,190.394
236,1,"16DS",96,191.67,189.843
237,1,"16DS",131,164.33,169.582
238,1,"16DS",11,173.67,174.676
239,1,"16DS",10,168.67,161.43
240,1,"16DS",55,190.67,189.541
241,1,"16DS",5,189,172.837
242,1,"16DS",53,181.67,183.807
253,1,"16DS",95,187,188.439
269,1,"16DS",112,180,177.185
287,1,"16DS",57,183,180.241
299,1,"16WW",66,194.33,193.117
307,1,"16WW",85,159.67,194.454
312,1,"16WW",136,191,189.676
314,1,"16WW",61,208.33,200.797
324,1,"16WW",47,202,202.037
328,1,"16WW",14,179,182.837
330,1,"16WW",114,210.33,203.134
338,1,"16WW",18,179,202.759
343,1,"16WW",87,199.67,196.018
358,1,"16WW",90,190,188.496
369,1,"16WW",68,201.33,203.288
370,1,"16WW",54,210.67,202.403
375,1,"16WW",173,197,196.112
379,1,"16WW",19,190,185.099
3,2,"14DS",93,203.3,197.045
10,2,"14DS",139,214.7,212.909
17,2,"14DS",53,211.7,202.309
25,2,"14DS",1,199,200.486
28,2,"14DS",14,197,191.248
34,2,"14DS",95,214.3,213.503
41,2,"14DS",30,204.7,207.495
42,2,"14DS",177,207.7,207.85
47,2,"14DS",55,216,207.811
50,2,"14DS",125,190.3,189.448
54,2,"14DS",172,215,202.244
56,2,"14DS",48,201,195.733
60,2,"14DS",131,181.7,190.801
62,2,"14DS",17,196.7,208.462
65,2,"14DS",121,132.7,118.088
66,2,"14DS",4,201.7,204.19
69,2,"14DS",138,184.3,192.256
72,2,"14DS",136,201.3,197.104
73,2,"14DS",11,198.7,197.924
77,2,"14DS",123,97.7,110.715
85,2,"14DS",61,212,210.628
86,2,"14DS",173,206,202.926
89,2,"14DS",143,198.3,193.026
91,2,"14DS",2,198.3,198.192
104,2,"14WW",24,199.7,197.47
112,2,"14WW",18,214,189.176
115,2,"14WW",25,200.3,196.484
122,2,"14WW",27,192.7,195.541
123,2,"14WW",10,174.3,170.831
126,2,"14WW",36,199.3,196.79
136,2,"14WW",161,197,205.283
153,2,"14WW",13,172.3,185.526
160,2,"14WW",35,199.7,193.13
162,2,"14WW",85,189.3,181.557
164,2,"14WW",128,193.7,187.192
169,2,"14WW",67,194,198.259
170,2,"14WW",47,193.3,202.165
181,2,"14WW",90,172.7,186.65
185,2,"14WW",103,202,196.218
187,2,"14WW",69,207.3,199.595
193,2,"16DS",37,161,186.456
196,2,"16DS",29,184,189.263
201,2,"16DS",58,190.33,181.288
205,2,"16DS",89,195.67,195.094
210,2,"16DS",72,182.33,191.142
214,2,"16DS",148,164.67,170.811
216,2,"16DS",154,186.33,177.725
217,2,"16DS",141,188.67,177.859
221,2,"16DS",19,185.33,182.897
222,2,"16DS",68,198,184.907
227,2,"16DS",92,179.33,174.024
228,2,"16DS",26,188.33,184.745
243,2,"16DS",54,189.67,201.092
247,2,"16DS",66,186.33,179.473
251,2,"16DS",83,189,177.405
255,2,"16DS",94,183,185.647
261,2,"16DS",158,197.67,196.716
262,2,"16DS",38,188.67,182.728
264,2,"16DS",76,187,189.272
265,2,"16DS",135,179.67,166.472
266,2,"16DS",70,184,168.448
270,2,"16DS",77,163,175.114
272,2,"16DS",165,144.67,179.796
274,2,"16DS",15,174,171.152
277,2,"16DS",52,190,199.984
280,2,"16DS",142,181.33,176.619
284,2,"16DS",8,195.67,178.978
288,2,"16DS",9,191.33,179.892
289,2,"16WW",75,177,186.047
292,2,"16WW",40,210.33,187.553
294,2,"16WW",145,214,198.494
298,2,"16WW",159,196,192.402
302,2,"16WW",106,206.67,199.534
306,2,"16WW",82,182,203.849
313,2,"16WW",96,213,199.673
320,2,"16WW",60,201,190.843
334,2,"16WW",97,204.33,196.745
339,2,"16WW",6,186.67,183.722
342,2,"16WW",156,189,193.768
347,2,"16WW",57,180,192.597
350,2,"16WW",33,163.67,202.625
364,2,"16WW",28,204.33,200.911
372,2,"16WW",5,193.67,184.929
1,3,"14DS",29,214.3,217.175
7,3,"14DS",106,200,212.292
15,3,"14DS",85,204,193.295
20,3,"14DS",25,202.7,208.418
26,3,"14DS",42,200.7,207.435
30,3,"14DS",5,192.3,199.934
36,3,"14DS",66,201,204.743
45,3,"14DS",65,203.7,206.594
52,3,"14DS",38,203,199.221
57,3,"14DS",24,204.3,211.306
59,3,"14DS",69,215,210.737
63,3,"14DS",75,185.7,195.396
67,3,"14DS",83,213,206.692
68,3,"14DS",9,197.3,207.523
76,3,"14DS",145,205.7,210.658
97,3,"14WW",139,208.3,202.742
108,3,"14WW",138,190,176.294
110,3,"14WW",114,213.7,202.878
121,3,"14WW",28,193.3,195.099
127,3,"14WW",61,206.7,199.867
130,3,"14WW",173,196,190.707
137,3,"14WW",81,203.7,203.294
145,3,"14WW",156,200.7,190.827
146,3,"14WW",30,196.7,193.765
148,3,"14WW",54,211.3,202.463
149,3,"14WW",95,200.3,201.486
158,3,"14WW",112,192.3,188.181
161,3,"14WW",57,200,184.943
173,3,"14WW",19,182,190.064
175,3,"14WW",96,199,206.218
178,3,"14WW",97,186,198.857
180,3,"14WW",107,191.3,192.451
194,3,"16DS",143,167,180.261
197,3,"16DS",159,187.33,185.794
203,3,"16DS",87,188.67,184.842
208,3,"16DS",136,183.33,178.251
213,3,"16DS",64,188.67,184.892
231,3,"16DS",133,182.33,181.683
232,3,"16DS",4,180.67,180.301
234,3,"16DS",121,70.67,103.402
235,3,"16DS",14,160,173.643
245,3,"16DS",47,202.33,187.13
248,3,"16DS",90,179.33,169.089
249,3,"16DS",35,186,185.148
252,3,"16DS",48,183.67,177.282
260,3,"16DS",82,199.67,184.483
263,3,"16DS",27,188.33,183.364
273,3,"16DS",40,161.67,189.645
275,3,"16DS",33,172,180.226
276,3,"16DS",13,169.67,173.457
278,3,"16DS",60,195.67,185.461
285,3,"16DS",93,194.33,168.109
286,3,"16DS",6,176,177.223
291,3,"16WW",17,203.33,188.625
293,3,"16WW",94,200,198.876
295,3,"16WW",158,209,203.328
300,3,"16WW",125,186,186.469
301,3,"16WW",2,187,186.303
303,3,"16WW",92,192.33,190.367
305,3,"16WW",53,186,199.135
308,3,"16WW",142,159.67,200.032
309,3,"16WW",58,203.33,203.183
311,3,"16WW",1,189,188.733
316,3,"16WW",37,199,191.437
321,3,"16WW",154,192,194.062
326,3,"16WW",11,191.67,183.845
327,3,"16WW",89,203,205.834
331,3,"16WW",135,193,186.576
332,3,"16WW",103,201,201.219
333,3,"16WW",128,183,188.615
336,3,"16WW",16,195,207.653
337,3,"16WW",78,191.33,184.075
349,3,"16WW",15,181.67,184.605
351,3,"16WW",3,161.67,194.672
352,3,"16WW",10,161.67,178.466
353,3,"16WW",172,185,202.01
355,3,"16WW",123,147.67,77.346
362,3,"16WW",70,194,184.029
363,3,"16WW",177,195,198.893
368,3,"16WW",131,183.33,175.776
371,3,"16WW",76,197.33,201.166
373,3,"16WW",72,198.33,194.877
377,3,"16WW",20,183.33,195.078
378,3,"16WW",77,178,179.156
380,3,"16WW",161,206.33,205.065
384,3,"16WW",8,187.67,193.291
2,4,"14DS",18,222.7,198.846
4,4,"14DS",107,205.7,198.854
5,4,"14DS",96,216,212.085
12,4,"14DS",33,228.3,192.193
18,4,"14DS",57,190.7,201.232
22,4,"14DS",112,197,199.761
31,4,"14DS",148,186,183.835
39,4,"14DS",10,177,182.986
40,4,"14DS",68,199,210.99
46,4,"14DS",60,204.7,206.728
49,4,"14DS",114,209,219.765
64,4,"14DS",97,202,208.187
75,4,"14DS",94,197.3,206.416
78,4,"14DS",27,209.3,203.834
