"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,182.302
5,1,"14DS",96,216,204.808
8,1,"14DS",15,192.7,183.591
11,1,"14DS",142,209,218.847
15,1,"14DS",85,204,189.045
18,1,"14DS",57,190.7,205.266
21,1,"14DS",103,208.3,226.767
30,1,"14DS",5,192.3,211.278
33,1,"14DS",90,193,204.304
36,1,"14DS",66,201,182.418
47,1,"14DS",55,216,216.742
51,1,"14DS",76,202,183.317
60,1,"14DS",131,181.7,199.098
67,1,"14DS",83,213,188.582
76,1,"14DS",145,205.7,195.994
84,1,"14DS",159,198.3,227.369
85,1,"14DS",61,212,229.059
91,1,"14DS",2,198.3,168.664
92,1,"14DS",135,196.3,196.702
95,1,"14DS",36,205.3,197.8
99,1,"14WW",55,193.3,197.7
103,1,"14WW",83,199,170.283
111,1,"14WW",76,203.7,177.697
124,1,"14WW",145,201,195.816
125,1,"14WW",131,181.7,186.578
126,1,"14WW",36,199.3,190.972
127,1,"14WW",61,206.7,224.118
129,1,"14WW",142,195,203.971
131,1,"14WW",15,179.3,172.584
134,1,"14WW",66,195.3,172.417
135,1,"14WW",29,208.7,176.819
142,1,"14WW",5,178,198.435
155,1,"14WW",135,177.7,186.402
161,1,"14WW",57,200,196.605
162,1,"14WW",85,189.3,184.237
171,1,"14WW",2,181.3,155.147
175,1,"14WW",96,199,201.014
181,1,"14WW",90,172.7,194.952
185,1,"14WW",103,202,223.244
189,1,"14WW",159,200,223.272
196,1,"16DS",29,184,162.886
197,1,"16DS",159,187.33,206.907
198,1,"16DS",85,177.67,175.216
212,1,"16DS",2,190,153.638
226,1,"16DS",61,188,211.85
233,1,"16DS",145,178.33,171.484
236,1,"16DS",96,191.67,181.975
237,1,"16DS",131,164.33,165.349
240,1,"16DS",55,190.67,196.858
241,1,"16DS",5,189,192.017
247,1,"16DS",66,186.33,163.242
248,1,"16DS",90,179.33,191.59
250,1,"16DS",36,192,177.108
251,1,"16DS",83,189,173.367
259,1,"16DS",103,184.67,203.339
264,1,"16DS",76,187,161.372
265,1,"16DS",135,179.67,175.993
274,1,"16DS",15,174,152.976
280,1,"16DS",142,181.33,200.107
287,1,"16DS",57,183,187.774
294,1,"16WW",145,214,197.473
296,1,"16WW",29,220,175.611
298,1,"16WW",159,196,219.674
299,1,"16WW",66,194.33,168.24
301,1,"16WW",2,187,154.961
307,1,"16WW",85,159.67,172.295
308,1,"16WW",142,159.67,193.255
313,1,"16WW",96,213,199.995
314,1,"16WW",61,208.33,222.32
325,1,"16WW",55,206.67,207.08
331,1,"16WW",135,193,186.454
332,1,"16WW",103,201,223.943
345,1,"16WW",83,190,178.753
347,1,"16WW",57,180,196.203
349,1,"16WW",15,181.67,151.86
358,1,"16WW",90,190,195.837
368,1,"16WW",131,183.33,187.154
371,1,"16WW",76,197.33,175.421
372,1,"16WW",5,193.67,202.252
374,1,"16WW",36,201.67,188.698
3,2,"14DS",93,203.3,210.92
4,2,"14DS",107,205.7,204.516
9,2,"14DS",40,202.3,201.205
16,2,"14DS",26,218.7,197.611
20,2,"14DS",25,202.7,215.736
22,2,"14DS",112,197,212.585
38,2,"14DS",128,194.3,216.07
46,2,"14DS",60,204.7,193.507
52,2,"14DS",38,203,208.823
54,2,"14DS",172,215,203.588
63,2,"14DS",75,185.7,203.827
64,2,"14DS",97,202,179.062
66,2,"14DS",4,201.7,200.373
74,2,"14DS",54,214.7,211.348
79,2,"14DS",20,199.7,188.868
81,2,"14DS",165,204,212.084
82,2,"14DS",154,201.3,190.556
87,2,"14DS",47,208.3,204.075
90,2,"14DS",35,202.7,210.64
93,2,"14DS",81,215.3,244.329
98,2,"14WW",38,179.7,195.4
101,2,"14WW",60,193,180.64
106,2,"14WW",172,198,190.866
109,2,"14WW",20,189.3,181.389
115,2,"14WW",25,200.3,211.042
137,2,"14WW",81,203.7,232.268
139,2,"14WW",4,182.7,193.771
144,2,"14WW",154,186.3,184.042
148,2,"14WW",54,211.3,206.97
154,2,"14WW",26,190,185.679
158,2,"14WW",112,192.3,208.225
160,2,"14WW",35,199.7,201.572
164,2,"14WW",128,193.7,208.145
170,2,"14WW",47,193.3,191.211
172,2,"14WW",93,175,196.27
176,2,"14WW",165,187.7,205.795
177,2,"14WW",40,202.3,193.161
178,2,"14WW",97,186,174.02
180,2,"14WW",107,191.3,190.52
188,2,"14WW",75,186,202.383
200,2,"16DS",75,172.33,188.739
204,2,"16DS",25,181,199.458
206,2,"16DS",172,185,188.661
207,2,"16DS",107,186.33,183.425
209,2,"16DS",128,169.67,202.192
216,2,"16DS",154,186.33,177.257
228,2,"16DS",26,188.33,177.289
230,2,"16DS",81,192.33,213.796
232,2,"16DS",4,180.67,177.025
243,2,"16DS",54,189.67,189.867
245,2,"16DS",47,202.33,182.33
249,2,"16DS",35,186,192.437
262,2,"16DS",38,188.67,190.291
268,2,"16DS",20,181,168.073
269,2,"16DS",112,180,187.757
272,2,"16DS",165,144.67,183.785
