"testing","fold","env","individual","observed","predicted"
1,1,"14DS",29,214.3,179.775
7,1,"14DS",106,200,201.695
11,1,"14DS",142,209,215.751
16,1,"14DS",26,218.7,191.129
18,1,"14DS",57,190.7,208.104
23,1,"14DS",77,202.3,219.198
27,1,"14DS",13,197.3,193.509
40,1,"14DS",68,199,202.396
43,1,"14DS",6,191,215.66
45,1,"14DS",65,203.7,214.707
51,1,"14DS",76,202,196.303
52,1,"14DS",38,203,210.943
54,1,"14DS",172,215,211.331
56,1,"14DS",48,201,181.322
59,1,"14DS",69,215,215.438
61,1,"14DS",19,202.3,192.755
62,1,"14DS",17,196.7,189.66
67,1,"14DS",83,213,196.412
89,1,"14DS",143,198.3,208.169
91,1,"14DS",2,198.3,174.78
98,1,"14WW",38,179.7,196.745
103,1,"14WW",83,199,180.915
105,1,"14WW",106,203.7,190.801
106,1,"14WW",172,198,202.508
111,1,"14WW",76,203.7,186.84
118,1,"14WW",6,184,205.773
129,1,"14WW",142,195,200.271
135,1,"14WW",29,208.7,172.799
138,1,"14WW",68,204,193.709
153,1,"14WW",13,172.3,182.697
154,1,"14WW",26,190,182.752
161,1,"14WW",57,200,203.527
165,1,"14WW",48,189.3,171.839
166,1,"14WW",65,189,203.528
171,1,"14WW",2,181.3,159.379
173,1,"14WW",19,182,178.827
174,1,"14WW",143,188,195.387
179,1,"14WW",77,177,198.087
187,1,"14WW",69,207.3,205.612
191,1,"14WW",17,181,174.971
194,1,"16DS",143,167,183.436
196,1,"16DS",29,184,160.356
206,1,"16DS",172,185,195.107
211,1,"16DS",69,181.67,202.793
212,1,"16DS",2,190,157.483
218,1,"16DS",17,198.67,165.199
221,1,"16DS",19,185.33,160.919
222,1,"16DS",68,198,188.433
228,1,"16DS",26,188.33,173.19
251,1,"16DS",83,189,179.83
252,1,"16DS",48,183.67,156.742
262,1,"16DS",38,188.67,198.128
264,1,"16DS",76,187,179.47
267,1,"16DS",65,190.33,202.721
270,1,"16DS",77,163,196.123
276,1,"16DS",13,169.67,163.06
280,1,"16DS",142,181.33,196.496
283,1,"16DS",106,196.67,176.04
286,1,"16DS",6,176,205.266
287,1,"16DS",57,183,197.171
290,1,"16WW",69,204,203.213
291,1,"16WW",17,203.33,179.062
296,1,"16WW",29,220,177.336
301,1,"16WW",2,187,160.958
302,1,"16WW",106,206.67,188.77
308,1,"16WW",142,159.67,198.036
339,1,"16WW",6,186.67,205.703
345,1,"16WW",83,190,187.491
347,1,"16WW",57,180,201.53
348,1,"16WW",48,179.67,167.474
353,1,"16WW",172,185,203.886
354,1,"16WW",143,186.33,192.216
360,1,"16WW",65,196,203.874
361,1,"16WW",38,189.33,198.134
369,1,"16WW",68,201.33,201.109
371,1,"16WW",76,197.33,186.296
378,1,"16WW",77,178,206.365
379,1,"16WW",19,190,187.53
382,1,"16WW",13,196,180.14
383,1,"16WW",26,204.67,181.577
4,2,"14DS",107,205.7,205.205
9,2,"14DS",40,202.3,197.088
10,2,"14DS",139,214.7,200.917
13,2,"14DS",52,224,198.148
15,2,"14DS",85,204,204.67
28,2,"14DS",14,197,195.13
41,2,"14DS",30,204.7,195.76
44,2,"14DS",8,205.7,198.851
49,2,"14DS",114,209,210.37
55,2,"14DS",156,200.3,194.553
60,2,"14DS",131,181.7,200.159
63,2,"14DS",75,185.7,210.213
76,2,"14DS",145,205.7,204.406
77,2,"14DS",123,97.7,184.851
80,2,"14DS",58,211.3,207.05
81,2,"14DS",165,204,201.758
82,2,"14DS",154,201.3,194.68
87,2,"14DS",47,208.3,199.321
88,2,"14DS",89,220,209.569
96,2,"14DS",78,191.3,195.005
97,2,"14WW",139,208.3,180.096
110,2,"14WW",114,213.7,194.208
124,2,"14WW",145,201,207.324
125,2,"14WW",131,181.7,187.031
132,2,"14WW",89,196.3,191.59
144,2,"14WW",154,186.3,187.236
145,2,"14WW",156,200.7,188.859
146,2,"14WW",30,196.7,187.549
150,2,"14WW",14,187.3,186.612
157,2,"14WW",52,219.3,187.692
159,2,"14WW",8,188,191.913
162,2,"14WW",85,189.3,199.302
170,2,"14WW",47,193.3,188.161
176,2,"14WW",165,187.7,188.746
177,2,"14WW",40,202.3,184.784
180,2,"14WW",107,191.3,190.34
184,2,"14WW",58,196,196.14
188,2,"14WW",75,186,205.252
190,2,"14WW",78,192.7,193.533
192,2,"14WW",123,89.7,183.109
198,2,"16DS",85,177.67,189.959
200,2,"16DS",75,172.33,194.75
201,2,"16DS",58,190.33,177.508
202,2,"16DS",123,0,167.072
205,2,"16DS",89,195.67,185.294
207,2,"16DS",107,186.33,185.781
216,2,"16DS",154,186.33,180.546
219,2,"16DS",139,193.33,186.949
220,2,"16DS",30,188,173.524
233,2,"16DS",145,178.33,184.049
235,2,"16DS",14,160,171.797
237,2,"16DS",131,164.33,168.761
245,2,"16DS",47,202.33,179.295
246,2,"16DS",156,187.33,182.283
256,2,"16DS",114,192,180.033
271,2,"16DS",78,169.33,179.005
272,2,"16DS",165,144.67,177.997
273,2,"16DS",40,161.67,150.901
277,2,"16DS",52,190,181.391
284,2,"16DS",8,195.67,182.321
289,2,"16WW",75,177,201.927
292,2,"16WW",40,210.33,193.144
294,2,"16WW",145,214,208.037
307,2,"16WW",85,159.67,179.769
309,2,"16WW",58,203.33,193.627
321,2,"16WW",154,192,186.987
322,2,"16WW",30,198.33,184.759
324,2,"16WW",47,202,192.226
327,2,"16WW",89,203,197.123
328,2,"16WW",14,179,187.448
330,2,"16WW",114,210.33,198.966
337,2,"16WW",78,191.33,196.039
341,2,"16WW",165,193.33,191.193
342,2,"16WW",156,189,188.849
355,2,"16WW",123,147.67,162.948
359,2,"16WW",107,186,188.15
367,2,"16WW",52,202.67,193.811
368,2,"16WW",131,183.33,190.308
381,2,"16WW",139,210.67,190.633
384,2,"16WW",8,187.67,187.507
12,3,"14DS",33,228.3,191.644
26,3,"14DS",42,200.7,206.72
30,3,"14DS",5,192.3,206.604
32,3,"14DS",158,211.7,213.123
33,3,"14DS",90,193,204.082
34,3,"14DS",95,214.3,194.479
36,3,"14DS",66,201,189.425
39,3,"14DS",10,177,180.228
47,3,"14DS",55,216,215.888
48,3,"14DS",133,206.7,190.585
53,3,"14DS",92,199,218.468
72,3,"14DS",136,201.3,193.845
73,3,"14DS",11,198.7,196.244
79,3,"14DS",20,199.7,197.309
84,3,"14DS",159,198.3,217.157
86,3,"14DS",173,206,193.304
92,3,"14DS",135,196.3,212.066
93,3,"14DS",81,215.3,243.738
94,3,"14DS",37,205.7,215.276
95,3,"14DS",36,205.3,200.576
99,3,"14WW",55,193.3,198.957
107,3,"14WW",37,195.7,204.524
109,3,"14WW",20,189.3,188.097
113,3,"14WW",158,220,206.639
116,3,"14WW",133,180.7,176.486
117,3,"14WW",136,177.7,182.883
123,3,"14WW",10,174.3,180.571
126,3,"14WW",36,199.3,191.941
130,3,"14WW",173,196,179.772
134,3,"14WW",66,195.3,177.919
137,3,"14WW",81,203.7,227.794
140,3,"14WW",11,180,180.296
142,3,"14WW",5,178,194.186
143,3,"14WW",42,201.7,196.694
149,3,"14WW",95,200.3,185.668
155,3,"14WW",135,177.7,202.799
156,3,"14WW",33,204,185.575
167,3,"14WW",92,178,205.585
181,3,"14WW",90,172.7,194.01
189,3,"14WW",159,200,212.093
193,3,"16DS",37,161,185.288
195,3,"16DS",173,173.67,168.884
197,3,"16DS",159,187.33,198.145
208,3,"16DS",136,183.33,172.167
227,3,"16DS",92,179.33,201.141
230,3,"16DS",81,192.33,211.855
231,3,"16DS",133,182.33,145.688
238,3,"16DS",11,173.67,180.857
239,3,"16DS",10,168.67,168.612
240,3,"16DS",55,190.67,198.832
241,3,"16DS",5,189,186.15
247,3,"16DS",66,186.33,173.846
248,3,"16DS",90,179.33,189.929
250,3,"16DS",36,192,181.523
253,3,"16DS",95,187,173.989
261,3,"16DS",158,197.67,197.936
265,3,"16DS",135,179.67,190.216
268,3,"16DS",20,181,174.003
275,3,"16DS",33,172,161.68
281,3,"16DS",42,186,184.904
295,3,"16WW",158,209,205.743
298,3,"16WW",159,196,208.335
299,3,"16WW",66,194.33,174.783
303,3,"16WW",92,192.33,206.274
304,3,"16WW",133,191,175.376
312,3,"16WW",136,191,180.341
316,3,"16WW",37,199,206.758
325,3,"16WW",55,206.67,205.418
326,3,"16WW",11,191.67,191.067
329,3,"16WW",42,188.33,198.254
331,3,"16WW",135,193,202.739
340,3,"16WW",95,207.33,184.497
350,3,"16WW",33,163.67,169.074
352,3,"16WW",10,161.67,169.616
358,3,"16WW",90,190,194.8
365,3,"16WW",81,205,241.407
372,3,"16WW",5,193.67,199.496
374,3,"16WW",36,201.67,189.994
375,3,"16WW",173,197,183.674
377,3,"16WW",20,183.33,190.736
2,4,"14DS",18,222.7,222.027
6,4,"14DS",70,196,192.471
8,4,"14DS",15,192.7,200.197
17,4,"14DS",53,211.7,207.663
19,4,"14DS",64,199,203.202
20,4,"14DS",25,202.7,207.522
22,4,"14DS",112,197,229.729
25,4,"14DS",1,199,195.614
29,4,"14DS",28,210.3,185.554
31,4,"14DS",148,186,217.248
37,4,"14DS",16,220,196.906
38,4,"14DS",128,194.3,230.763
58,4,"14DS",3,197.3,217.397
64,4,"14DS",97,202,179.152
66,4,"14DS",4,201.7,181.561
68,4,"14DS",9,197.3,205.7
69,4,"14DS",138,184.3,194.915
83,4,"14DS",141,202.3,206.425
85,4,"14DS",61,212,233.333
90,4,"14DS",35,202.7,224.304
100,4,"14WW",70,173.7,183.117
108,4,"14WW",138,190,185.508
112,4,"14WW",18,214,213.926
114,4,"14WW",16,218.3,186.667
115,4,"14WW",25,200.3,202.055
121,4,"14WW",28,193.3,180.23
127,4,"14WW",61,206.7,224.907
128,4,"14WW",1,188.7,181.473
131,4,"14WW",15,179.3,188.775
133,4,"14WW",9,183.7,194.684
139,4,"14WW",4,182.7,174.46
152,4,"14WW",148,166.3,208
158,4,"14WW",112,192.3,221.96
160,4,"14WW",35,199.7,214.131
163,4,"14WW",3,186.7,208.475
164,4,"14WW",128,193.7,222.738
168,4,"14WW",64,202.7,194.226
178,4,"14WW",97,186,173.036
182,4,"14WW",141,192.7,194.395
186,4,"14WW",53,200.3,199.054
204,4,"16DS",25,181,194.028
209,4,"16DS",128,169.67,216.956
213,4,"16DS",64,188.67,191.688
214,4,"16DS",148,164.67,194.457
215,4,"16DS",1,184.67,177.58
217,4,"16DS",141,188.67,188.855
223,4,"16DS",28,185.67,176.405
224,4,"16DS",18,166,213.6
226,4,"16DS",61,188,219.394
229,4,"16DS",138,160,166.263
232,4,"16DS",4,180.67,160.043
242,4,"16DS",53,181.67,194.091
249,4,"16DS",35,186,206.867
254,4,"16DS",3,186,186.798
266,4,"16DS",70,184,173.391
269,4,"16DS",112,180,197.355
274,4,"16DS",15,174,164.515
279,4,"16DS",16,182.67,173.825
282,4,"16DS",97,196.67,165.275
288,4,"16DS",9,191.33,179.872
305,4,"16WW",53,186,199.439
311,4,"16WW",1,189,185.698
314,4,"16WW",61,208.33,223.489
315,4,"16WW",25,203,203.989
318,4,"16WW",4,208.67,170.403
319,4,"16WW",138,182.67,184.273
323,4,"16WW",141,198.67,198.403
333,4,"16WW",128,183,226.224
334,4,"16WW",97,204.33,176.892
335,4,"16WW",64,201,203.863
336,4,"16WW",16,195,194.654
338,4,"16WW",18,179,216.702
344,4,"16WW",35,189,208.976
349,4,"16WW",15,181.67,163.98
351,4,"16WW",3,161.67,198.597
357,4,"16WW",9,200.33,182.626
362,4,"16WW",70,194,186.821
364,4,"16WW",28,204.33,176.463
366,4,"16WW",148,181,211.692
376,4,"16WW",112,189.33,225.705
3,5,"14DS",93,203.3,200.608
5,5,"14DS",96,216,211.866
14,5,"14DS",72,200,192.988
21,5,"14DS",103,208.3,197.526
24,5,"14DS",87,202.3,194.55
35,5,"14DS",67,213.7,205.254
42,5,"14DS",177,207.7,193.588
46,5,"14DS",60,204.7,196.077
50,5,"14DS",125,190.3,197.052
57,5,"14DS",24,204.3,206.294
65,5,"14DS",121,132.7,198.099
70,5,"14DS",161,214,185.596
71,5,"14DS",82,208.7,187.706
74,5,"14DS",54,214.7,204.061
75,5,"14DS",94,197.3,190.064
78,5,"14DS",27,209.3,195.482
101,5,"14WW",60,193,183.322
102,5,"14WW",125,183,186.651
104,5,"14WW",24,199.7,194.653
119,5,"14WW",94,198.3,189.157
120,5,"14WW",72,205,187.562
122,5,"14WW",27,192.7,194.358
136,5,"14WW",161,197,170.166
141,5,"14WW",121,101.3,190.212
147,5,"14WW",177,193.3,183.817
148,5,"14WW",54,211.3,200.713
151,5,"14WW",82,198.3,176.264
169,5,"14WW",67,194,191.244
172,5,"14WW",93,175,178.058
175,5,"14WW",96,199,205.328
183,5,"14WW",87,199.3,187.097
185,5,"14WW",103,202,190.497
199,5,"16DS",161,200.67,160.517
203,5,"16DS",87,188.67,161.592
210,5,"16DS",72,182.33,180.16
225,5,"16DS",24,180.67,194.415
234,5,"16DS",121,70.67,142.407
236,5,"16DS",96,191.67,180.471
243,5,"16DS",54,189.67,184.952
244,5,"16DS",177,193.67,171.617
255,5,"16DS",94,183,158.061
257,5,"16DS",67,191.33,174.947
258,5,"16DS",125,170.67,160.062
259,5,"16DS",103,184.67,157.641
260,5,"16DS",82,199.67,159.922
263,5,"16DS",27,188.33,181.717
278,5,"16DS",60,195.67,175.458
285,5,"16DS",93,194.33,177.74
293,5,"16WW",94,200,186.563
297,5,"16WW",121,92,207.996
300,5,"16WW",125,186,184.829
306,5,"16WW",82,182,171.432
310,5,"16WW",67,194.67,195.11
313,5,"16WW",96,213,205.456
317,5,"16WW",24,203,197.229
320,5,"16WW",60,201,194.264
332,5,"16WW",103,201,192.846
343,5,"16WW",87,199.67,179.231
346,5,"16WW",27,189,193.746
356,5,"16WW",93,180.67,177.723
363,5,"16WW",177,195,175.815
370,5,"16WW",54,210.67,199.256
373,5,"16WW",72,198.33,185.597
380,5,"16WW",161,206.33,173.804
