"testing","fold","env","individual","observed","predicted"
5,1,"14DS",96,216,214.825
6,1,"14DS",70,196,179.922
8,1,"14DS",15,192.7,196.032
10,1,"14DS",139,214.7,205.52
11,1,"14DS",142,209,222.139
23,1,"14DS",77,202.3,221.759
30,1,"14DS",5,192.3,210.52
46,1,"14DS",60,204.7,194.941
57,1,"14DS",24,204.3,220.273
58,1,"14DS",3,197.3,201.449
59,1,"14DS",69,215,217.323
63,1,"14DS",75,185.7,213.809
68,1,"14DS",9,197.3,205.449
69,1,"14DS",138,184.3,198.492
74,1,"14DS",54,214.7,215.311
76,1,"14DS",145,205.7,197.413
79,1,"14DS",20,199.7,197.416
81,1,"14DS",165,204,201.234
82,1,"14DS",154,201.3,189.387
87,1,"14DS",47,208.3,202.642
97,1,"14WW",139,208.3,185.435
100,1,"14WW",70,173.7,166.466
101,1,"14WW",60,193,184.008
104,1,"14WW",24,199.7,208.616
108,1,"14WW",138,190,190.465
109,1,"14WW",20,189.3,185.582
124,1,"14WW",145,201,206.458
129,1,"14WW",142,195,204.467
131,1,"14WW",15,179.3,180.51
133,1,"14WW",9,183.7,195.388
142,1,"14WW",5,178,196.707
144,1,"14WW",154,186.3,181.877
148,1,"14WW",54,211.3,211.165
163,1,"14WW",3,186.7,191.468
170,1,"14WW",47,193.3,188.397
175,1,"14WW",96,199,212.671
176,1,"14WW",165,187.7,194.655
179,1,"14WW",77,177,201.014
187,1,"14WW",69,207.3,207.187
188,1,"14WW",75,186,210.001
200,1,"16DS",75,172.33,200.124
211,1,"16DS",69,181.67,204.237
216,1,"16DS",154,186.33,182.556
219,1,"16DS",139,193.33,194.559
225,1,"16DS",24,180.67,206.511
229,1,"16DS",138,160,165.447
233,1,"16DS",145,178.33,170.017
236,1,"16DS",96,191.67,184.666
241,1,"16DS",5,189,193.332
243,1,"16DS",54,189.67,194.811
245,1,"16DS",47,202.33,175.93
254,1,"16DS",3,186,170.723
266,1,"16DS",70,184,160.594
268,1,"16DS",20,181,172.727
270,1,"16DS",77,163,198.341
272,1,"16DS",165,144.67,172.736
274,1,"16DS",15,174,159.696
278,1,"16DS",60,195.67,175.66
280,1,"16DS",142,181.33,200.968
288,1,"16DS",9,191.33,180.943
289,1,"16WW",75,177,204.714
290,1,"16WW",69,204,207.081
294,1,"16WW",145,214,208.114
308,1,"16WW",142,159.67,192.29
313,1,"16WW",96,213,208.432
317,1,"16WW",24,203,207.637
319,1,"16WW",138,182.67,189.675
320,1,"16WW",60,201,186.488
321,1,"16WW",154,192,180.448
324,1,"16WW",47,202,190.344
