"testing","fold","env","individual","observed","predicted"
5,1,"14DS",96,216,213.502
6,1,"14DS",70,196,194.55
8,1,"14DS",15,192.7,191.577
12,1,"14DS",33,228.3,193.261
18,1,"14DS",57,190.7,201.698
22,1,"14DS",112,197,201.98
23,1,"14DS",77,202.3,191.178
27,1,"14DS",13,197.3,191.193
28,1,"14DS",14,197,192.425
31,1,"14DS",148,186,189.448
32,1,"14DS",158,211.7,219.768
33,1,"14DS",90,193,196.257
40,1,"14DS",68,199,212.763
45,1,"14DS",65,203.7,206.761
46,1,"14DS",60,204.7,207.362
51,1,"14DS",76,202,204.277
54,1,"14DS",172,215,204.177
59,1,"14DS",69,215,212.03
70,1,"14DS",161,214,214.89
73,1,"14DS",11,198.7,194.034
78,1,"14DS",27,209.3,201.766
81,1,"14DS",165,204,190.432
84,1,"14DS",159,198.3,208.267
88,1,"14DS",89,220,211.066
97,1,"14WW",139,208.3,204.368
98,1,"14WW",38,179.7,196.057
102,1,"14WW",125,183,185.451
103,1,"14WW",83,199,196.316
115,1,"14WW",25,200.3,199.351
118,1,"14WW",6,184,188.012
121,1,"14WW",28,193.3,197.643
124,1,"14WW",145,201,201.057
130,1,"14WW",173,196,190.406
134,1,"14WW",66,195.3,193.396
137,1,"14WW",81,203.7,210.552
139,1,"14WW",4,182.7,195.268
143,1,"14WW",42,201.7,192.055
146,1,"14WW",30,196.7,193.647
155,1,"14WW",135,177.7,191.003
169,1,"14WW",67,194,201.152
171,1,"14WW",2,181.3,184.751
174,1,"14WW",143,188,184.341
182,1,"14WW",141,192.7,196.593
184,1,"14WW",58,196,200.889
209,1,"16DS",128,169.67,180.567
215,1,"16DS",1,184.67,175.71
216,1,"16DS",154,186.33,177.758
242,1,"16DS",53,181.67,185.09
243,1,"16DS",54,189.67,197.946
246,1,"16DS",156,187.33,180.98
254,1,"16DS",3,186,169.949
271,1,"16DS",78,169.33,180.617
282,1,"16DS",97,196.67,177.914
291,1,"16WW",17,203.33,188.586
292,1,"16WW",40,210.33,187.576
293,1,"16WW",94,200,191.7
296,1,"16WW",29,220,198.048
307,1,"16WW",85,159.67,189.016
314,1,"16WW",61,208.33,205.713
316,1,"16WW",37,199,189.51
324,1,"16WW",47,202,199.24
325,1,"16WW",55,206.67,201.249
335,1,"16WW",64,201,195.559
338,1,"16WW",18,179,205.071
340,1,"16WW",95,207.33,198.656
343,1,"16WW",87,199.67,195.126
344,1,"16WW",35,189,197.99
348,1,"16WW",48,179.67,187.82
355,1,"16WW",123,147.67,78.105
356,1,"16WW",93,180.67,190.55
359,1,"16WW",107,186,194.141
367,1,"16WW",52,202.67,212.257
368,1,"16WW",131,183.33,176.776
372,1,"16WW",5,193.67,188.777
379,1,"16WW",19,190,190.507
24,2,"14DS",87,202.3,205.232
26,2,"14DS",42,200.7,203.982
34,2,"14DS",95,214.3,207.467
35,2,"14DS",67,213.7,206.706
56,2,"14DS",48,201,192.344
58,2,"14DS",3,197.3,194.44
65,2,"14DS",121,132.7,128.187
72,2,"14DS",136,201.3,197.069
77,2,"14DS",123,97.7,114.874
83,2,"14DS",141,202.3,204.945
87,2,"14DS",47,208.3,207.699
91,2,"14DS",2,198.3,189.027
95,2,"14DS",36,205.3,206.155
96,2,"14DS",78,191.3,201.482
101,2,"14WW",60,193,193.353
107,2,"14WW",37,195.7,190.539
108,2,"14WW",138,190,176.282
114,2,"14WW",16,218.3,193.026
127,2,"14WW",61,206.7,206.65
129,2,"14WW",142,195,188.402
131,2,"14WW",15,179.3,180.908
138,2,"14WW",68,204,195.632
145,2,"14WW",156,200.7,188.923
147,2,"14WW",177,193.3,187.826
156,2,"14WW",33,204,187.538
162,2,"14WW",85,189.3,179.601
166,2,"14WW",65,189,197.759
173,2,"14WW",19,182,191.12
176,2,"14WW",165,187.7,182.535
187,2,"14WW",69,207.3,200.211
189,2,"14WW",159,200,194.637
195,2,"16DS",173,173.67,180.495
204,2,"16DS",25,181,190.881
207,2,"16DS",107,186.33,179.745
210,2,"16DS",72,182.33,184.781
214,2,"16DS",148,164.67,170.388
218,2,"16DS",17,198.67,174.234
219,2,"16DS",139,193.33,194.113
225,2,"16DS",24,180.67,188.212
228,2,"16DS",26,188.33,187.272
231,2,"16DS",133,182.33,173.827
232,2,"16DS",4,180.67,179.815
241,2,"16DS",5,189,177.842
247,2,"16DS",66,186.33,178.663
248,2,"16DS",90,179.33,174.996
256,2,"16DS",114,192,195.454
258,2,"16DS",125,170.67,175.557
259,2,"16DS",103,184.67,193.758
269,2,"16DS",112,180,181.355
273,2,"16DS",40,161.67,185.942
277,2,"16DS",52,190,203.133
285,2,"16DS",93,194.33,173.006
288,2,"16DS",9,191.33,182.892
289,2,"16WW",75,177,188.143
294,2,"16WW",145,214,199.797
302,2,"16WW",106,206.67,203.002
303,2,"16WW",92,192.33,191.856
305,2,"16WW",53,186,199.996
306,2,"16WW",82,182,197.229
321,2,"16WW",154,192,190.405
326,2,"16WW",11,191.67,185.534
327,2,"16WW",89,203,204.247
328,2,"16WW",14,179,189.409
333,2,"16WW",128,183,194.291
345,2,"16WW",83,190,198.011
346,2,"16WW",27,189,195.392
347,2,"16WW",57,180,193.53
352,2,"16WW",10,161.67,178.288
353,2,"16WW",172,185,202.533
361,2,"16WW",38,189.33,195.102
362,2,"16WW",70,194,183.469
371,2,"16WW",76,197.33,194.848
377,2,"16WW",20,183.33,191.328
384,2,"16WW",8,187.67,194.687
2,3,"14DS",18,222.7,203.456
11,3,"14DS",142,209,196.002
14,3,"14DS",72,200,204.638
20,3,"14DS",25,202.7,209.092
21,3,"14DS",103,208.3,212.223
29,3,"14DS",28,210.3,204.259
41,3,"14DS",30,204.7,201.454
42,3,"14DS",177,207.7,198.743
43,3,"14DS",6,191,197.329
50,3,"14DS",125,190.3,193.459
64,3,"14DS",97,202,199.808
67,3,"14DS",83,213,202.416
69,3,"14DS",138,184.3,189.409
71,3,"14DS",82,208.7,201.308
79,3,"14DS",20,199.7,196.242
80,3,"14DS",58,211.3,207.242
86,3,"14DS",173,206,197.469
104,3,"14WW",24,199.7,195.836
105,3,"14WW",106,203.7,200.98
119,3,"14WW",94,198.3,191.343
133,3,"14WW",9,183.7,197.007
136,3,"14WW",161,197,207.68
140,3,"14WW",11,180,186.373
148,3,"14WW",54,211.3,205.713
150,3,"14WW",14,187.3,183.156
153,3,"14WW",13,172.3,185.909
154,3,"14WW",26,190,200.918
157,3,"14WW",52,219.3,207.492
158,3,"14WW",112,192.3,190.347
159,3,"14WW",8,188,194.509
164,3,"14WW",128,193.7,188.969
167,3,"14WW",92,178,193.665
172,3,"14WW",93,175,193.077
175,3,"14WW",96,199,205.999
191,3,"14WW",17,181,193.517
193,3,"16DS",37,161,188.462
194,3,"16DS",143,167,178.019
196,3,"16DS",29,184,193.47
200,3,"16DS",75,172.33,175.073
202,3,"16DS",123,0,115.139
205,3,"16DS",89,195.67,193.147
211,3,"16DS",69,181.67,196.656
213,3,"16DS",64,188.67,185.801
217,3,"16DS",141,188.67,184.897
226,3,"16DS",61,188,198.323
237,3,"16DS",131,164.33,169.575
239,3,"16DS",10,168.67,160.908
240,3,"16DS",55,190.67,191.46
249,3,"16DS",35,186,187.485
252,3,"16DS",48,183.67,172.959
261,3,"16DS",158,197.67,196.678
264,3,"16DS",76,187,183.041
265,3,"16DS",135,179.67,177.499
266,3,"16DS",70,184,171.821
274,3,"16DS",15,174,171.616
279,3,"16DS",16,182.67,191.169
297,3,"16WW",121,92,124.059
299,3,"16WW",66,194.33,192.127
304,3,"16WW",133,191,187.448
311,3,"16WW",1,189,188.933
312,3,"16WW",136,191,188.932
320,3,"16WW",60,201,194.993
329,3,"16WW",42,188.33,196.42
330,3,"16WW",114,210.33,205.63
342,3,"16WW",156,189,195.208
350,3,"16WW",33,163.67,201.256
351,3,"16WW",3,161.67,191.885
365,3,"16WW",81,205,210.687
366,3,"16WW",148,181,179.572
374,3,"16WW",36,201.67,198.187
378,3,"16WW",77,178,187.792
381,3,"16WW",139,210.67,204.478
1,4,"14DS",29,214.3,207.673
3,4,"14DS",93,203.3,197.45
7,4,"14DS",106,200,213.79
10,4,"14DS",139,214.7,213.221
16,4,"14DS",26,218.7,205.222
19,4,"14DS",64,199,207.366
25,4,"14DS",1,199,197.302
30,4,"14DS",5,192.3,200.849
37,4,"14DS",16,220,204.657
44,4,"14DS",8,205.7,201.66
47,4,"14DS",55,216,208.453
48,4,"14DS",133,206.7,193.437
49,4,"14DS",114,209,218.773
62,4,"14DS",17,196.7,200.406
68,4,"14DS",9,197.3,204.213
85,4,"14DS",61,212,218.144
89,4,"14DS",143,198.3,192.72
90,4,"14DS",35,202.7,207.653
93,4,"14DS",81,215.3,221.117
100,4,"14WW",70,173.7,185.01
