"","cv","model","env","n","cor"
"1","cv2","E+G","14DS",96,0.86
"2","cv2","E+G","14WW",96,0.85
"3","cv2","E+G","16DS",96,0.75
"4","cv2","E+G","16WW",96,0.64
"5","cv2","E+G","all",384,0.81
"6","cv2","E+G+A+AE+AG","14DS",96,0.86
"7","cv2","E+G+A+AE+AG","14WW",96,0.85
"8","cv2","E+G+A+AE+AG","16DS",96,0.78
"9","cv2","E+G+A+AE+AG","16WW",96,0.65
"10","cv2","E+G+A+AE+AG","all",384,0.81
"11","cv2","E+G+A+F","14DS",96,0.84
"12","cv2","E+G+A+F","14WW",96,0.7
"13","cv2","E+G+A+F","16DS",96,0.58
"14","cv2","E+G+A+F","16WW",96,0.63
"15","cv2","E+G+A+F","all",384,0.73
"16","cv2","E+G+F+EF","14DS",96,0.81
"17","cv2","E+G+F+EF","14WW",96,0.65
"18","cv2","E+G+F+EF","16DS",96,0.59
"19","cv2","E+G+F+EF","16WW",96,0.67
"20","cv2","E+G+F+EF","all",384,0.71
"21","cv2","E+G+F+EG+EF","14DS",96,0.63
"22","cv2","E+G+F+EG+EF","14WW",96,0.73
"23","cv2","E+G+F+EG+EF","16DS",96,0.54
"24","cv2","E+G+F+EG+EF","16WW",96,0.55
"25","cv2","E+G+F+EG+EF","all",384,0.63
"26","cv1","E+G","14DS",96,0.09
"27","cv1","E+G","14WW",96,0.15
"28","cv1","E+G","16DS",96,-0.07
"29","cv1","E+G","16WW",96,0.04
"30","cv1","E+G","all",384,0.06
"31","cv1","E+G+A+AE+AG","14DS",96,0.07
"32","cv1","E+G+A+AE+AG","14WW",96,0.07
"33","cv1","E+G+A+AE+AG","16DS",96,-0.11
"34","cv1","E+G+A+AE+AG","16WW",96,-0.08
"35","cv1","E+G+A+AE+AG","all",384,-0.01
"36","cv1","E+G+A+F","14DS",96,0.23
"37","cv1","E+G+A+F","14WW",96,0.26
"38","cv1","E+G+A+F","16DS",96,0.2
"39","cv1","E+G+A+F","16WW",96,0.26
"40","cv1","E+G+A+F","all",384,0.24
"41","cv1","E+G+F+EF","14DS",96,0.15
"42","cv1","E+G+F+EF","14WW",96,0.18
"43","cv1","E+G+F+EF","16DS",96,0.19
"44","cv1","E+G+F+EF","16WW",96,0.08
"45","cv1","E+G+F+EF","all",384,0.15
"46","cv1","E+G+F+EG+EF","14DS",96,0.19
"47","cv1","E+G+F+EG+EF","14WW",96,0.26
"48","cv1","E+G+F+EG+EF","16DS",96,0.2
"49","cv1","E+G+F+EG+EF","16WW",96,0.14
"50","cv1","E+G+F+EG+EF","all",384,0.2
"51","cv0","E+G","14DS",96,0.86
"52","cv0","E+G","14WW",96,0.85
"53","cv0","E+G","16DS",96,0.75
"54","cv0","E+G","16WW",96,0.64
"55","cv0","E+G","all",384,0.81
"56","cv0","E+G+A+AE+AG","14DS",96,0.86
"57","cv0","E+G+A+AE+AG","14WW",96,0.85
"58","cv0","E+G+A+AE+AG","16DS",96,0.78
"59","cv0","E+G+A+AE+AG","16WW",96,0.65
"60","cv0","E+G+A+AE+AG","all",384,0.81
"61","cv0","E+G+A+F","14DS",96,0.83
"62","cv0","E+G+A+F","14WW",96,0.7
"63","cv0","E+G+A+F","16DS",96,0.59
"64","cv0","E+G+A+F","16WW",96,0.63
"65","cv0","E+G+A+F","all",384,0.72
"66","cv0","E+G+F+EF","14DS",96,0.82
"67","cv0","E+G+F+EF","14WW",96,0.65
"68","cv0","E+G+F+EF","16DS",96,0.58
"69","cv0","E+G+F+EF","16WW",96,0.66
"70","cv0","E+G+F+EF","all",384,0.71
"71","cv0","E+G+F+EG+EF","14DS",96,0.66
"72","cv0","E+G+F+EG+EF","14WW",96,0.73
"73","cv0","E+G+F+EG+EF","16DS",96,0.55
"74","cv0","E+G+F+EG+EF","16WW",96,0.55
"75","cv0","E+G+F+EG+EF","all",384,0.64
"76","cv00","E+G","14DS",96,0.08
"77","cv00","E+G","14WW",96,0.14
"78","cv00","E+G","16DS",96,-0.08
"79","cv00","E+G","16WW",96,0.03
"80","cv00","E+G","all",384,0.05
"81","cv00","E+G+A+AE+AG","14DS",96,0.04
"82","cv00","E+G+A+AE+AG","14WW",96,0.06
"83","cv00","E+G+A+AE+AG","16DS",96,-0.11
"84","cv00","E+G+A+AE+AG","16WW",96,-0.11
"85","cv00","E+G+A+AE+AG","all",384,-0.02
"86","cv00","E+G+A+F","14DS",96,0.21
"87","cv00","E+G+A+F","14WW",96,0.25
"88","cv00","E+G+A+F","16DS",96,0.18
"89","cv00","E+G+A+F","16WW",96,0.25
"90","cv00","E+G+A+F","all",384,0.22
"91","cv00","E+G+F+EF","14DS",96,0.16
"92","cv00","E+G+F+EF","14WW",96,0.18
"93","cv00","E+G+F+EF","16DS",96,0.19
"94","cv00","E+G+F+EF","16WW",96,0.08
"95","cv00","E+G+F+EF","all",384,0.15
"96","cv00","E+G+F+EG+EF","14DS",96,0.2
"97","cv00","E+G+F+EG+EF","14WW",96,0.27
"98","cv00","E+G+F+EG+EF","16DS",96,0.2
"99","cv00","E+G+F+EG+EF","16WW",96,0.15
"100","cv00","E+G+F+EG+EF","all",384,0.21
